STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FLUORIDE_Min,FLUORIDE_Max
15,ANDHRA PRADESH,23,28,6.82,7.85,195,226,2.9,2.9,0.1,0.25,22,22,380,380,0.11,0.42
16,ANDHRA PRADESH,27,28,7.21,7.72,663,1121,0.2,1,21.4,24,17,17,1600,1600,0.66,0.72
26,ANDHRA PRADESH,26,32,7.19,7.39,1601,1661,0.5,0.5,0.19,0.28,2,2,700,700,0.76,0.92
27,ANDHRA PRADESH,26,27,7.82,8.8,1420,1668,3,3.5,14,22, , ,10,35,0.1,1
1513,ANDHRA PRADESH,25,30,6.8,7.11,1454,1575,0.5,0.5,0.18,0.26,2,2,800,800,0.62,0.82
1514,ANDHRA PRADESH,24,31,6.77,7.43,1559,1649,0.3,0.4,0.13,0.22,2,2,800,800,0.58,0.74
1515,ANDHRA PRADESH,22,24,6.95,7.2,1788,2160,0.5,0.6,1.88,4.28,2,2,600,800,0.68,0.92
1516,ANDHRA PRADESH,29,29,7.46,8.04,696,1082,0.5,0.5,0.48,0.87,2,2,800,800,0.56,0.68
1517,ANDHRA PRADESH,26,27,7.39,8,1240,1662,1.4,2.4,2,2.6,3,12,16,28,1,2.4
1518,ANDHRA PRADESH,26,28,7.17,8.2,1650,2850,1.2,1.6,2.8,8.4,4,12,12,26,0.4,0.67
1519,ANDHRA PRADESH,18,28,7.05,7.8,1460,2130,1.2,1.8,16.1,22,2,10,9,16,0.3,1.8
1520,ANDHRA PRADESH,20,26,7.36,8.4,829,1428,1.4,3,0.4,14,4,140,6,1200,0.3,4
1521,ANDHRA PRADESH,25,27.4,7.5,7.54,3120,4111,1,1,8.08,13.9,3,3,4,7,0.37,1.14
1522,ANDHRA PRADESH,25,36,7.08,7.8,671,1580,1,1.5,1.34,24.1,3,3,23,210,0.43,1.4
1523,ANDHRA PRADESH,24.2,25,7.6,7.71,234,370,0.8,1,0.32,1.68,3,3,3,15,0.12,0.12
1524,ANDHRA PRADESH,25,26,7.2,7.38,875,1345,1,1.4,0.76,10.06,3,3,11,23,0.08,0.31
1525,ANDHRA PRADESH,26,26,6.9,6.9,1925,1925,2.5,2.5,6,6, , ,12,12,0.8,0.8
1791,ANDHRA PRADESH,28,29,6.76,7.43,2610,4525,0.7,0.7,0.01,0.019,350,350,1600,1600,1.6,2.08
1792,ANDHRA PRADESH,26,28,6.87,7.38,2377,3120,0.3,1.2,40.1,87,32,32,240,240,1.28,1.73
1793,ANDHRA PRADESH,25,28,7.35,7.93,1664,1975,1.5,2.3,22,25.4,22,22,1600,1600,1.47,1.74
1794,ANDHRA PRADESH,24,29,7.66,7.75,910,944,0.4,1,5.6,14,21,21,1600,1600,1.79,2.07
1795,ANDHRA PRADESH,26,27,7,7.2,6870,7120,12,13,5.4,16, , ,120,265,0.64,0.72
1810,ANDHRA PRADESH,28,28,7.18,7.6,1014,2044,2.5,3.8,38,41, , ,46,62,1.2,1.4
1811,ANDHRA PRADESH,26,27,8.2,8.3,1050,1100,3.2,3.4,0.6,1.2,0,15,10,20,0.8,0.9
1533,ASSAM,23,24,5.9,6.9,234,518,0.3,0.8,0.1,0.35, , ,1,1,0.56,0.56
1534,ASSAM,32,35,4.7,5.8,714,847,1.9,3.2,0.1,0.14, , ,1,1,0.57,0.57
1535,ASSAM,20,27,6.2,6.7,243,365,1.2,2.5,0.1,0.25, , ,1,1,0.53,0.53
1536,ASSAM,19,24,6,7.1,140,175,0.9,2.2,0.1,0.17, , ,1,1,0.68,0.68
1537,ASSAM,22,30,6.1,7,115,430,1.4,3.1,0.12,0.28, , ,1,1,0.29,0.29
1538,ASSAM,12,15,6.5,7.1,711,913,3.9,6.5,0.17,0.31, , ,1,1,0.34,0.34
1539,ASSAM,24,26,6.5,7.5,111,562,0.4,1.6,0.1,0.19, , ,1,1,0.28,0.28
1540,ASSAM,23,25,6.6,6.9,264,630,0.8,1.2,0.16,0.4, , ,1,1,0.53,0.53
1541,ASSAM,25,25,6.4,6.9,387,476,1,1.5,0.12,0.26, , ,910,910,0.35,0.35
1542,ASSAM,25,29,7.1,8.1,412,561,1.9,3.4,0.1,0.1, , ,300,300,1,1
2243,ASSAM,24,25,5.1,6.1,324,532,0.5,2.1,3.61,10.54, , ,1,1,0.53,0.53
2244,ASSAM,20,25,6.4,6.8,283,286,2.7,3.4,0.1,0.2, , ,1,5,0.67,0.67
2245,ASSAM,27,32,5.1,6.3,66,104,1.3,2.3,0.1,0.22, , ,1,1,0.26,0.26
2246,ASSAM,20,24,6.4,6.8,139,468,1.7,3.1,0.1,0.2, , ,1,1,0.66,0.66
2247,ASSAM,20,24,6.3,6.3,255,292,2.5,3.5,0.1,0.21, , ,1,1,0.64,0.64
2248,ASSAM,21,24,5.6,6.3,70,483,1.5,3,0.1,0.13, , ,1,1,0.56,0.56
2249,ASSAM,20,24,6.6,6.8,127,142,0.4,1.4,0.1,0.17, , ,1,1,0.33,0.33
2250,ASSAM,28,29,6.4,6.8,519,839,0.8,0.8,0.1,0.15, , ,1,1,0.6,0.6
2251,ASSAM,27,28,6.9,7.2,305,313,1.7,2.9,0.12,0.19, , ,1,1,0.87,0.87
2252,ASSAM,25,28,6.6,7.4,262,266,2,2.4,0.1,0.14, , ,1,1,0.54,0.54
2253,ASSAM,24,26,6.6,6.8,289,428,1.5,3.2,0.1,0.16, , ,1,1,0.46,0.46
2254,ASSAM,23,25,5.8,7.1,101,910,0.3,2.7,0.1,0.15, , ,1,1,0.56,0.56
2255,ASSAM,24,27,6,7,357,448,0.7,2.5,0.1,0.1, , ,1,1,0.53,0.53
2256,ASSAM,24,30,5.9,6.4,78,107,0.8,1.8,0.13,0.41, , ,1,1,0.56,0.56
2257,ASSAM,23,31,6.5,6.8,345,422,0.3,0.8,0.1,0.22, , ,1,1,0.78,0.78
2258,ASSAM,28,28,6.1,6.1,362,362,0.6,0.6,0.1,0.1, , ,1,1,0.57,0.57
2259,ASSAM,32,36,6.7,7,191,935,1.5,1.5,0.13,0.13, , ,1,1,0.69,0.69
2261,ASSAM,10,25,5.6,7.6,86,166,1.2,6.5,0.1,0.12, , ,1,1,0.43,0.43
