STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,,
26,ANDHRA PRADESH,22,26,7.51,8.03,960,1418,,,2.7,4.6,,,400,400,,
1513,ANDHRA PRADESH,23,26,7.7,8,1214,1260,,,0,1.9,,,400,400,,
1514,ANDHRA PRADESH,23,23,7.4,8,1010,1427,,,0.2,1.1,,,400,400,,
1516,ANDHRA PRADESH,,,8.5,8.6,557,670,,,0.5,0.6,,,400,400,,
1517,ANDHRA PRADESH,23,29,7.6,7.9,4060,4220,0.7,1,2.1,2.6,,,18,18,,
1518,ANDHRA PRADESH,22,28,7.7,7.9,4310,4310,0.8,1,2.3,3.2,,,16,16,,
1519,ANDHRA PRADESH,28,31,7.7,8.2,1122,1406,0.5,1,1.8,1.9,,,16,16,,
1520,ANDHRA PRADESH,28,30,7.8,8.3,659,744,0.7,1.2,1.1,1.1,,,16,16,,
1521,ANDHRA PRADESH,26,26,7.3,7.5,2535,2813,2.2,2.6,5.2,5.3,11,11,460,460,,
1522,ANDHRA PRADESH,24,27,7.2,7.4,478,485,1.2,1.5,0.7,1,7,9,150,150,,
1523,ANDHRA PRADESH,26,26,5.9,7.8,324,395,1,1.2,1.2,1.3,9,11,14,21,,
1524,ANDHRA PRADESH,28,28,7.3,7.5,1105,1303,1.2,1.4,0.8,1.1,7,7,20,28,,
3087,ANDHRA PRADESH,25,25,7.8,8.2,1110,2180,0.5,0.5,0.2,7.7,,,400,400,,
3089,ANDHRA PRADESH,28,28,7.6,7.9,1537,1917,1,1.4,7.9,8,7,7,150,160,,
3090,ANDHRA PRADESH,26,26,7.2,7.6,1689,1796,1.4,1.6,9.9,11.6,7,7,15,21,,
3091,ANDHRA PRADESH,25,28,7.3,7.6,2536,2893,1.3,1.5,8,8,3,4,380,460,,
3092,ANDHRA PRADESH,27,27,7.6,7.7,653,738,1.2,1.5,4.1,5.7,14,15,64,75,,
3093,ANDHRA PRADESH,26,27,7.4,7.6,1375,1528,1,1.8,3.3,3.5,4,5,20,28,,
1533,ASSAM,21,21,6.6,6.6,200,200,2.8,2.8,0.1,0.1,,,2100,2100,,
1534,ASSAM,24,26,6.2,6.9,561,827,1.3,2.7,0.3,0.3,,,,,,
1535,ASSAM,23,24,6.5,6.5,224,267,0.9,2.4,0.1,0.3,,,,,,
1536,ASSAM,23,25,6,6.8,127,245,1.8,2.7,0.1,0.4,,,,,,
1537,ASSAM,24,26,6.4,6.6,159,181,2.1,2.2,0.1,6,,,,,,
1538,ASSAM,26,27,5.6,6.2,57,91,0.5,0.9,0.4,0.7,,,73,73,,
1539,ASSAM,29,29,6.3,7.6,246,264,1.2,3.4,3.1,3.2,,,910,2000,,
1540,ASSAM,29,30,6.3,6.4,228,624,0.2,1.9,6.9,7.4,,,73,73,,
1541,ASSAM,24,29,6.3,7.2,212,271,1.4,5.2,0.2,0.2,,,300,360,,
1542,ASSAM,23,25,6.5,6.7,548,627,0.8,6.6,4.5,10.3,,,,,,
2243,ASSAM,20,24,6.3,7.6,222,224,1.4,2.5,0.1,0.1,,,,,,
2244,ASSAM,24,25,6.7,7.4,193,202,1.3,2.4,0.1,0.2,,,36,36,,
2245,ASSAM,23,29,6,6.1,81,124,0.6,0.8,1,1.1,,,,,,
2246,ASSAM,22,23,6.9,7.2,108,194,0.6,2.3,0.1,0.3,,,,,,
2247,ASSAM,23,23,7,7.6,212,236,0.5,2.8,0.2,0.2,,,,,,
2248,ASSAM,23,27,5.9,6.5,149,234,1.2,1.2,0.3,0.3,,,72,72,,
2249,ASSAM,23,26,6.5,6.8,110,143,2.1,2.2,0.3,0.4,,,36,36,,
2250,ASSAM,29,29,6.2,6.5,250,283,1.2,1.9,0.2,0.2,,,360,600,,
2251,ASSAM,30,32,5.6,6,767,997,2.4,3,9.2,11.1,,,900,900,,
2252,ASSAM,22,26,6.7,6.8,215,375,0.6,1.3,0.1,0.1,,,600,2400,,
2253,ASSAM,25,26,6.8,7,206,410,1.8,2.1,0.1,1.1,,,,,,
2254,ASSAM,29,30,6.8,7.1,552,719,1.2,2.8,0.8,0.9,,,700,1100,,
2255,ASSAM,28,30,6.2,6.9,157,252,1,1.8,4.9,5.2,,,73,73,,
2256,ASSAM,29,29,6,6.1,101,196,0.7,1.3,0.1,0.2,,,36,36,,
2257,ASSAM,29,30,7.1,7.4,437,443,0.7,1.1,0.1,0.1,,,2900,2900,,
2258,ASSAM,28,29,6.6,6.8,250,256,0.5,1.6,2.3,2.5,,,,,,
2260,ASSAM,25,25,6,6.5,147,182,0.8,2,0.1,0.7,,,,,,
2261,ASSAM,23,23,7.8,7.8,131,131,1.5,1.5,0.1,0.1,,,91,91,,
2262,ASSAM,25,27,6.1,6.2,85,87,0.9,1.2,0.1,0.1,,,,,,
2263,ASSAM,25,26,6.7,6.9,135,139,1.6,2.2,1.7,1.7,,,110,110,,
2264,ASSAM,25,26,6.1,6.1,146,174,0.8,2.5,0.6,0.8,,,,,,
1826,BIHAR,29,29,7,7,655,655,,,0,0,,,,,,
1827,BIHAR,27,28,7.1,7.7,552,616,,,0,0,4,7,10,14,,
1828,BIHAR,27,28,7.1,7.4,592,657,,,0,0,,,,,,
1829,BIHAR,29,32,6.9,7.5,556,634,,,0,0,2,2,4,4,,
1830,BIHAR,26,36,7.2,7.5,649,709,,,0,0,,,,,,
1831,BIHAR,26,35,7.7,7.9,619,754,,,0,0,,,,,,
1832,BIHAR,26,28,7.4,7.4,873,1960,,,0,0,5,5,8,8,,
1833,BIHAR,26,28,7.4,7.5,1053,1060,,,0,0,7,7,14,14,,
1834,BIHAR,24,28,7.2,7.3,320,1210,,,0,0,7,7,14,14,,
1835,BIHAR,24,28,7.3,7.4,1140,1140,,,0,0,,,,,,
1836,BIHAR,25,25,7.4,7.4,812,1180,,,0,0,9,9,14,14,,
1837,BIHAR,26,28,7.3,7.4,526,1200,,,0,0,4,6,6,14,,
1838,BIHAR,25,25,7.4,7.5,693,1140,,,0,0,7,7,14,14,,
1839,BIHAR,25,26,7.3,7.4,742,2090,,,0,0,7,7,9,9,,
1840,BIHAR,25,33,7.5,7.7,659,696,,,0,0,,,,,,
1841,BIHAR,25,32,7.1,7.5,494,1660,,,0,0,2,5,4,7,,
1842,BIHAR,25,31,7.5,8.6,481,586,,,0,0,,,,,,
1843,BIHAR,26,26,7.5,7.7,462,966,,,0,0,,,,,,
1844,BIHAR,28,28,7.1,7.3,550,720,,,0,0,9,9,20,20,,
2576,BIHAR,25,28,7.2,7.6,618,2340,,,0,0,7,7,14,14,,
2577,BIHAR,26,28,7.2,7.4,360,890,,,0,0,4,7,6,14,,
2578,BIHAR,26,29,7.2,7.4,310,592,,,0,0,5,5,9,9,,
2579,BIHAR,26,27,7.3,7.3,732,740,,,0,0,7,7,14,14,,
2580,BIHAR,28,28,7.2,7.2,159,159,,,0,0,,,,,,
2581,BIHAR,23,27,7.3,7.4,628,890,,,0,0,4,4,9,9,,
2582,BIHAR,24,27,7.2,8,634,725,,,0,0,4,7,6,14,,
2583,BIHAR,23,25,7,7.4,670,1994,,,0,0,4,4,8,8,,
2584,BIHAR,24,28,7.1,7.3,750,1580,,,0,0,,,,,,
2585,BIHAR,25,28,7.4,7.5,690,1120,,,0,0,5,5,18,18,,
2586,BIHAR,27,32,7,7.2,374,726,,,0,0,5,5,7,7,,
2587,BIHAR,22,24,7.4,7.4,779,915,,,0,0,4,4,6,6,,
2588,BIHAR,24,34,7.2,7.4,380,1040,,,0,0,5,5,7,7,,
2589,BIHAR,25,33,7.4,7.4,657,657,,,0,0,4,4,6,8,,
2590,BIHAR,22,27,7.5,7.6,450,747,,,0,0,,,,,,
2591,BIHAR,25,25,7.5,7.6,859,1200,,,0,0,4,7,6,17,,
2592,BIHAR,25,25,7.4,7.6,820,820,,,0,0,4,5,6,7,,
2594,BIHAR,25,26,7.4,7.4,500,500,,,0,0,7,7,14,14,,
2595,BIHAR,24,30,7.2,7.4,466,926,,,0,0,3,3,7,7,,
2596,BIHAR,25,35,7.7,8.2,721,835,,,0,0,4,4,6,7,,
2597,BIHAR,28,28,7.4,7.5,739,1610,,,0,0,,,,,,
2598,BIHAR,26,28,7.4,7.9,329,890,,,0,0,,,,,,
2599,BIHAR,26,28,7.4,7.6,694,830,,,0,0,7,7,9,9,,
