STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
26,ANDHRA PRADESH,25,25,7.4,7.8,1440,1808,1.0,1.2,3.6,3.7,2,2,400,400
1513,ANDHRA PRADESH,26,26,7.6,8.1,1614,1751,1.0,1.2,2.7,3.6,2,2,400,800
1514,ANDHRA PRADESH,25,25,7.3,7.5,1685,2039,1.0,1.6,0.9,3.9,2,2,400,400
1516,ANDHRA PRADESH,25,25,7.6,8.7,845,2160,1.0,1.2,2.2,30.0,2,2,400,800
1517,ANDHRA PRADESH,22,26,7.4,7.4,4340,5500,0.5,2.0,3.7,15.2,2,2,2,2
1518,ANDHRA PRADESH,22,27,7.1,7.5,6140,6180,0.8,2.0,3.0,34.2,2,2,2,2
1519,ANDHRA PRADESH,28,29,7.3,7.6,2120,2180,0.5,2.0,4.7,24.8,2,2,2,2
1520,ANDHRA PRADESH,28,28,7.3,7.6,762,928,0.5,2.0,2.4,19.0,2,2,2,2
1521,ANDHRA PRADESH,25,28,7.0,8.0,1938,2355,1.2,1.4,6.5,10.6,15,21,460,460
1522,ANDHRA PRADESH,27,27,7.0,8.0,529,560,1.4,1.7,0.6,0.7,9,15,150,210
1523,ANDHRA PRADESH,25,27,7.0,8.0,391,434,1.2,1.4,0.6,3.4,7,11,75,150
1524,ANDHRA PRADESH,27,29,7.0,8.0,1057,1817,1.3,1.4,2.3,3.6,9,11,110,150
3087,ANDHRA PRADESH,26,26,7.6,7.9,1360,2164,1.0,1.8,3.0,8.1,2,2,800,800
3089,ANDHRA PRADESH,27,30,7.8,8.0,2238,2431,1.0,1.3,10.7,12.2,15,21,240,460
3090,ANDHRA PRADESH,28,29,7.0,7.2,2277,2710,1.2,2.0,4.8,17.3,11,15,110,210
3091,ANDHRA PRADESH,28,29,7.0,8.0,3100,4369,1.4,2.2,2.9,11.2,9,11,350,350
3092,ANDHRA PRADESH,28,28,7.0,8.0,862,1191,1.3,1.7,5.7,7.3,11,15,150,150
3093,ANDHRA PRADESH,30,30,7.0,7.0,1710,1935,0.8,1.4,7.2,12.1,9,11,75,210
1533,ASSAM,18,22,6.0,6.1,45,448,1.1,2.5,0.3,0.4,2,2,2,2
1534,ASSAM,26,26,5.4,6.4,105,1240,1.9,2.5,0.4,0.4,2,2,2,2
1535,ASSAM,24,25,6.7,7.5,212,217,1.1,1.6,0.1,2.4,,,,
1536,ASSAM,22,25,6.7,7.0,217,228,1.5,1.6,0.1,0.6,2,2,2,2
1537,ASSAM,27,29,6.7,7.7,225,416,1.5,2.6,0.2,1.6,2,2,2,2
1538,ASSAM,24,24,5.5,6.5,95,120,0.7,1.8,2.4,3.7,2,2,2,2
1539,ASSAM,28,28,6.9,7.4,222,580,1.0,1.5,0.2,0.7,2,2,2,2
1540,ASSAM,27,27,7.0,7.4,96,139,1.1,1.2,0.1,5.0,2,2,2,2
1541,ASSAM,26,29,6.4,6.8,238,265,1.5,1.5,0.7,1.1,2,2,2,2
1542,ASSAM,26,30,6.6,7.9,256,565,1.2,1.6,0.2,0.4,2,2,2,2
2243,ASSAM,18,22,5.2,5.7,153,227,1.0,2.0,0.4,0.5,2,2,2,2
2244,ASSAM,22,25,6.7,7.8,246,254,0.9,1.5,0.2,2.1,2,2,2,2
2245,ASSAM,27,28,5.6,5.7,72,198,1.7,2.2,0.2,0.4,2,2,2,2
2246,ASSAM,15,22,6.9,7.0,110,152,1.0,1.3,0.3,0.7,2,2,2,2
2247,ASSAM,15,24,6.3,6.4,234,250,4.6,4.8,0.6,1.9,2,2,2,2
2248,ASSAM,26,26,5.8,6.1,124,242,1.6,3.4,0.6,9.2,2,2,2,2
2249,ASSAM,25,25,6.6,6.7,179,208,1.0,1.8,0.7,1.3,2,2,2,2
2250,ASSAM,26,28,6.3,7.1,256,287,1.4,2.0,0.6,0.7,2,2,2,2
2251,ASSAM,26,30,5.7,5.8,271,685,2.7,4.0,0.6,5.8,2,2,2,2
2252,ASSAM,26,29,6.6,7.0,169,170,1.4,1.9,0.2,0.4,2,2,2,2
2253,ASSAM,29,30,6.3,6.8,188,195,1.0,1.5,0.2,2.3,2,2,2,2
2254,ASSAM,29,29,7.4,7.8,362,480,1.1,1.4,0.6,0.7,2,2,2,2
2255,ASSAM,25,30,7.2,7.5,80,140,1.2,1.2,0.2,4.1,2,2,2,2
2256,ASSAM,29,29,6.1,6.8,101,336,1.2,1.2,0.1,0.6,2,2,2,2
2257,ASSAM,30,32,6.7,6.8,330,422,1.3,1.6,0.3,0.5,2,2,2,2
2258,ASSAM,28,29,6.6,7.2,324,333,1.3,1.8,0.3,3.3,2,2,2,2
2259,ASSAM,27,27,6.9,7.0,716,785,2.0,2.0,0.3,0.5,2,2,2,2
2260,ASSAM,28,28,6.8,6.9,33,265,1.5,2.1,0.2,0.7,2,2,2,2
2261,ASSAM,21,23,5.7,7.3,120,120,1.0,1.4,0.1,0.1,2,2,2,2
2262,ASSAM,24,24,5.7,6.8,120,138,1.0,1.0,0.3,0.6,2,2,2,2
2263,ASSAM,24,25,6.6,7.3,192,192,1.0,1.2,0.3,0.4,2,2,2,2
2264,ASSAM,24,25,6.6,7.2,142,162,4.0,4.8,0.3,1.7,2,2,2,2
3761,ASSAM,25,25,6.4,7.2,181,258,1.1,2.4,0.1,0.5,2,2,2,2
3762,ASSAM,26,26,6.5,6.7,260,370,1.4,1.6,0.6,2.3,2,2,2,2
3766,ASSAM,24,30,6.3,7.3,113,159,1.5,2.1,0.8,1.0,2,2,2,2
3770,ASSAM,27,29,6.8,7.6,226,227,1.7,2.5,0.1,4.7,2,2,2,2
3771,ASSAM,26,28,7.2,7.6,316,316,1.8,2.3,0.3,2.1,2,2,2,2
3779,ASSAM,24,28,5.7,7.5,165,297,1.6,1.8,0.4,2.4,2,2,2,2
3790,ASSAM,15,23,5.9,6.7,151,265,1.1,1.8,0.8,1.0,2,2,2,2
