STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max
26,ANDHRA PRADESH,25.0,26.0,3.9,4.8,7.8,7.9,1814,1841,0.8,1.4,0.48,3.43,2,3,39,400
1513,ANDHRA PRADESH,26.0,26.0,3.8,4.5,7.4,7.7,1796,1873,0.8,1.4,0.74,3.81,2,3,64,800
1514,ANDHRA PRADESH,25.0,26.0,4.8,5.1,7.4,7.7,1561,1875,1.2,4.1,0.83,0.85,2,3,21,400
1516,ANDHRA PRADESH,19.0,19.0,3.8,3.9,7.8,8.1,890,1566,1.2,1.2,1.50,1.66,2,3,21,400
1517,ANDHRA PRADESH,22.0,22.0,4.5,4.5,7.5,7.5,5010,5010,0.8,0.8,4.00,4.00,2,2,2,2
1518,ANDHRA PRADESH,21.0,23.0,4.6,5.7,6.8,7.2,6620,7410,0.7,0.8,2.10,3.96,2,2,2,2
1519,ANDHRA PRADESH,29.0,30.0,4.2,4.8,6.6,7.0,1820,2160,0.5,1.0,1.70,2.90,2,2,2,2
1520,ANDHRA PRADESH,29.0,30.0,4.4,5.3,6.7,7.4,789,830,0.5,0.8,1.20,2.14,2,2,2,2
1521,ANDHRA PRADESH,28.0,28.0,4.5,5.6,7.4,8.5,2229,2295,1.2,1.5,10.81,16.35,11,21,150,240
1522,ANDHRA PRADESH,27.0,27.0,4.0,4.5,7.0,8.3,597,2669,1.0,1.4,0.38,10.47,9,11,93,150
1523,ANDHRA PRADESH,29.0,31.0,4.2,5.2,7.4,7.4,289,326,0.8,1.7,0.09,0.28,3,4,28,45
1524,ANDHRA PRADESH,27.0,30.0,5.6,5.8,7.6,7.8,1089,2641,1.1,1.3,1.17,2.27,7,9,93,120
3087,ANDHRA PRADESH,26.0,28.0,4.1,4.5,7.5,7.8,2093,2152,0.8,1.0,2.74,2.80,2,3,75,800
3089,ANDHRA PRADESH,28.0,28.0,4.0,5.0,7.6,8.7,982,2359,2.0,2.0,9.98,10.84,11,15,21,150
3090,ANDHRA PRADESH,27.0,28.0,3.3,5.8,7.1,7.6,3543,4652,0.3,1.6,11.27,23.85,9,15,23,150
3091,ANDHRA PRADESH,27.0,28.0,5.4,5.5,7.4,7.5,1997,2849,1.3,1.9,5.09,5.22,7,9,93,240
3092,ANDHRA PRADESH,26.0,27.0,4.5,4.8,7.3,8.4,1059,1200,0.5,1.3,8.14,10.53,7,15,63,150
3093,ANDHRA PRADESH,28.0,29.0,4.7,5.0,7.8,8.2,1274,1876,0.8,2.6,10.41,20.06,7,11,110,110
4350,ANDHRA PRADESH,26.0,26.0,6.0,6.3,7.0,7.9,967,1291,0.6,1.7,10.50,11.22,7,7,63,63
4353,ANDHRA PRADESH,25.0,25.0,6.1,6.1,7.5,7.5,2457,2457,1.0,1.0,10.96,10.96,4,4,63,63
4354,ANDHRA PRADESH,25.0,25.0,6.8,6.8,7.9,7.9,13150,13150,2.3,2.3,5.30,5.30,9,9,39,39
4355,ANDHRA PRADESH,26.0,26.0,7.2,7.2,7.5,7.5,314,314,1.1,1.1,9.97,9.97,15,15,75,75
4360,ANDHRA PRADESH,25.0,25.0,5.1,5.1,7.1,7.1,1560,1560,1.2,1.2,8.94,8.94,4,4,93,93
4364,ANDHRA PRADESH,27.0,27.0,4.9,4.9,7.3,7.3,892,892,1.5,1.5,7.65,7.65,4,4,69,69
4376,ANDHRA PRADESH,25.0,29.0,4.0,4.2,7.6,7.9,2990,3082,1.2,1.2,3.22,3.84,2,3,400,460
4377,ANDHRA PRADESH,26.0,26.0,3.9,4.2,7.9,8.5,1770,5590,0.8,0.8,2.84,4.02,2,3,23,800
4380,ANDHRA PRADESH,21.0,22.0,4.3,4.5,7.1,7.5,782,972,0.8,0.8,3.60,4.97,2,3,28,220
4382,ANDHRA PRADESH,21.0,21.0,4.4,4.4,7.5,7.5,3800,3800,0.8,0.8,6.00,6.00,3,3,15,15
4384,ANDHRA PRADESH,24.0,30.0,4.2,4.6,7.4,8.2,6320,10000,0.8,1.8,5.40,9.20,2,3,120,380
4392,ANDHRA PRADESH,28.0,36.0,4.8,5.3,6.5,6.9,1230,1280,0.5,0.5,1.13,3.60,2,2,2,2
4393,ANDHRA PRADESH,24.0,26.0,3.6,4.2,7.2,7.4,2870,3230,0.7,2.6,3.60,9.50,2,2,2,2
4394,ANDHRA PRADESH,25.0,26.0,4.2,4.4,6.4,7.0,2370,3470,0.5,1.5,2.10,19.60,2,2,2,2
4395,ANDHRA PRADESH,21.0,25.0,4.2,4.4,6.7,7.2,2240,2820,0.7,0.7,1.90,2.70,2,2,2,2
1533,ASSAM,19.0,26.0,0.0,0.0,6.5,6.8,145,452,1.7,2.6,0.80,0.80,2,2,2,2
1534,ASSAM,21.0,26.0,0.0,0.0,6.6,7.0,60,97,1.6,3.8,1.00,1.10,2,2,2,2
1535,ASSAM,23.0,25.0,0.0,0.0,7.1,7.6,213,290,1.8,2.8,1.00,1.20,2,2,2,2
1536,ASSAM,24.0,30.0,0.0,0.0,7.2,7.9,233,296,1.0,2.0,0.70,1.00,2,2,2,2
1537,ASSAM,25.0,25.0,0.0,0.0,7.0,7.5,130,237,1.1,2.3,1.20,3.20,2,2,2,2
1538,ASSAM,23.0,24.0,0.0,0.0,6.3,6.4,96,116,1.2,2.0,1.00,1.70,2,2,2,2
1539,ASSAM,26.0,27.0,0.0,0.0,7.2,7.5,278,578,1.3,1.6,0.70,0.70,2,2,2,2
1540,ASSAM,26.0,28.0,0.0,0.0,7.2,7.3,104,110,1.4,1.8,1.10,1.20,2,2,2,2
1541,ASSAM,22.0,29.0,0.0,0.0,7.1,7.2,187,445,1.2,1.2,0.50,2.80,2,2,2,2
1542,ASSAM,25.0,26.0,0.0,0.0,7.0,7.1,44,49,1.5,2.6,0.70,1.00,2,2,2,2
2243,ASSAM,18.0,26.0,0.0,0.0,5.4,6.6,214,221,1.8,2.7,0.70,0.90,2,2,2,2
2244,ASSAM,25.0,30.0,0.0,0.0,7.3,7.6,245,283,0.8,2.0,1.00,2.00,2,2,2,2
2245,ASSAM,24.0,27.0,0.0,0.0,5.4,6.6,116,140,1.3,4.2,1.00,1.00,2,2,2,2
2246,ASSAM,18.0,24.0,0.0,0.0,7.0,7.2,109,144,1.1,2.1,0.70,1.00,2,2,2,2
2247,ASSAM,18.0,24.0,0.0,0.0,6.8,6.9,23,191,1.2,1.8,0.80,1.00,2,2,2,2
2248,ASSAM,28.0,30.0,0.0,0.0,7.0,7.1,135,140,1.5,3.4,0.70,0.80,2,2,2,2
2249,ASSAM,26.0,27.0,0.0,0.0,6.7,7.2,137,268,1.0,2.0,0.30,0.70,2,2,2,2
2250,ASSAM,24.0,29.0,0.0,0.0,7.1,7.3,164,364,1.3,1.9,1.00,1.30,2,2,2,2
2251,ASSAM,27.0,29.0,0.0,0.0,6.3,6.3,40,919,1.3,4.0,0.70,1.60,2,2,2,2
2252,ASSAM,25.0,26.0,0.0,0.0,6.9,7.2,162,170,2.0,3.8,0.60,0.90,2,2,2,2
2253,ASSAM,26.0,29.0,0.0,0.0,6.8,7.8,171,301,1.2,4.2,0.60,1.10,2,2,2,2
2254,ASSAM,28.0,28.0,0.0,0.0,7.0,7.6,264,364,1.3,1.4,0.80,0.90,2,2,2,2
2255,ASSAM,23.0,28.0,0.0,0.0,7.2,7.3,96,99,1.1,3.0,0.80,0.90,2,2,2,2
2256,ASSAM,26.0,29.0,0.0,0.0,6.5,7.1,168,268,1.1,1.2,1.00,1.10,2,2,2,2
