STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max
26,"ANDHRA
PRADESH",24,24,7.28,7.4,2300,2390,2.2,2.4,3.15,3.77,3,3,11,21,1356,1480,0.38,0.44,BDL,BDL
1513,ANDHRA PRADESH,24,24,7.07,7.86,2140,2210,2.2,2.2,1.38,3.42,3,4,13,20,1260,1328,0.32,0.36,BDL,BDL
1514,ANDHRA PRADESH,25,25,7.21,7.26,1996,2160,2,2.2,3.61,3.99,3,3,11,15,1178,1260,0.68,0.71,0.0019,0.0019
1516,"ANDHRA
PRADESH",20,21,7.85,8.06,1270,1340,1.8,2,1.31,1.43,3,3,14,15,750,790,0.26,0.3,0.0027,0.0027
1517,ANDHRA PRADESH,21,24,7.2,7.5,2068,6410,1.2,1.2,3.12,6.91,9,9,53,53,1349,3846,0.5,1.2,BDL,BDL
1518,"ANDHRA
PRADESH",23,25,6.5,7.4,6605,8350,1.2,1.2,2.86,33.62,5,5,40,40,4310,5012,0.6,1.4,BDL,BDL
1519,"ANDHRA
PRADESH",25,25,6.5,6.9,1586,1638,BDL,BDL,5.98,9.63,8,8,62,62,952,1069,0.5,0.6,BDL,BDL
1520,ANDHRA PRADESH,24,26,7,7.1,775,873,BDL,BDL,0.62,2.34,2,2,34,34,465,570,0.9,0.9,BDL,BDL
1521,ANDHRA PRADESH,26,27,7.57,7.71,1783,2370,1.4,2,9.5,10.29,4,4,64,75,1148,1540,0.23,0.3,0.0005,0.0005
1522,"ANDHRA
PRADESH",22,30,7.23,7.77,742,1658,2.5,2.5,1.22,5.66,3,7,64,93,498,982,0.39,0.39,BDL,BDL
1523,"ANDHRA
PRADESH",27,30,7.71,7.88,280,762,2,2,0.82,3.9,3,3,28,39,194,484,0.23,0.23,BDL,BDL
1524,ANDHRA PRADESH,25,28,7.44,7.9,1080,1235,1.4,1.4,1.33,8.18,3,4,39,120,722,788,0.3,0.3,BDL,BDL
3087,ANDHRA PRADESH,24,24,7.25,7.78,2102,2413,1.8,2,1.51,1.95,3,4,14,20,1260,1430,0.56,0.62,BDL,BDL
3089,"ANDHRA
PRADESH",27,28,5.75,7.27,1640,2740,2.3,2.3,8.74,9.81,3,3,39,64,1034,1680,0.48,0.58,BDL,BDL
3090,ANDHRA PRADESH,26,27,7.63,7.75,1167,1725,2.1,2.1,9.15,9.84,3,3,39,43,749,1120,BDL,BDL,BDL,BDL
3091,"ANDHRA
PRADESH",22,27,7.26,7.31,3290,3780,2.1,2.2,9.75,11.85,3,11,75,150,2234,2300,0.28,0.95,BDL,BDL
3092,"ANDHRA
PRADESH",24,30,7.42,8.03,1014,1389,2.2,2.2,7.94,8.71,3,4,21,64,680,880,0.99,0.99,BDL,BDL
3093,"ANDHRA
PRADESH",25,25,7.53,8.21,1156,1390,1.9,1.9,5.62,8.54,3,4,39,64,716,932,0.88,0.98,BDL,BDL
4350,ANDHRA PRADESH,24,32,7.23,7.69,695,1315,1.8,2.7,3.36,9.19,3,3,39,75,458,820,0.31,0.31,BDL,BDL
4353,ANDHRA PRADESH,25,29,7.93,8.15,3460,3890,2,2,10.98,49.22,3,4,64,64,2344,2528,0.27,0.27,0.0006,0.0006
4354,ANDHRA PRADESH,26,27,7.49,7.88,10380,11120,2.1,2.1,8.91,10.05,3,4,43,75,6520,7640,0.46,0.55,BDL,BDL
4355,"ANDHRA
PRADESH",23,28,6.8,7.17,855,858,1.1,1.6,8.88,9.25,3,3,64,64,540,588,0.64,0.64,BDL,BDL
4360,ANDHRA PRADESH,24,28,8.07,8.08,798,886,1.1,1.1,3.49,3.92,3,3,28,43,520,538,0.47,0.47,0.0057,0.006
4364,ANDHRA PRADESH,24,26,7.45,8.29,709,940,1.6,1.6,0.32,8.02,3,3,39,48,458,652,0.27,0.54,0.0006,0.0006
4376,ANDHRA PRADESH,22,24,7.44,7.6,4770,7670,2.8,2.9,2.92,2.98,3,7,23,75,2990,4600,0.93,0.98,0.0007,0.0038
4377,ANDHRA PRADESH,27,27,8.07,8.19,8920,10200,2.8,2.9,3.34,4.47,3,5,28,64,5440,6120,0.92,0.96,0.0009,0.0009
4380,ANDHRA PRADESH,21,22,7.26,7.93,802,980,2.2,2.4,0.65,0.71,3,3,9,14,498,584,0.58,0.61,0.0005,0.0036
4382,ANDHRA PRADESH,21,22,7.4,7.68,4360,4476,2.2,2.4,4.32,4.83,3,4,15,21,2730,2740,0.4,0.43,0.0049,0.0049
4384,ANDHRA PRADESH,24,25,7.3,7.98,9200,10280,2.4,2.8,8.37,9.1,3,10,39,75,5520,6270,0.99,1.23,0.0012,0.0014
4392,ANDHRA PRADESH,24,29,6.6,6.7,1034,1051,BDL,BDL,4.53,8.72,7,7,46,46,631,674,0.8,0.8,BDL,BDL
4393,"ANDHRA
PRADESH",25,25,7.1,7.2,2408,2603,2,2,9.01,9.42,12,12,69,69,1562,1571,0.8,1.4,BDL,BDL
4394,ANDHRA PRADESH,28,28,6.9,6.9,1806,3170,1.2,1.2,1.19,5.84,8,8,42,42,1178,1902,0.9,1.8,BDL,BDL
4395,ANDHRA PRADESH,27,27,6.9,7.5,3070,3127,BDL,BDL,7.46,8.26,2,2,27,27,1845,2041,1.3,1.7,BDL,BDL
1533,ASSAM,22,27,6.9,7.2,308,313,2.4,2.5,0.8,1,-,-,-,-,176,212,0.3,0.31,0.01,0.01
1534,ASSAM,26,26,7,7,268,268,2.5,2.5,1.4,1.4,-,-,-,-,186,186,0.32,0.32,0.01,0.01
1535,ASSAM,20,26,6.8,7,295,298,2.3,2.4,0.8,0.9,-,-,-,-,166,190,0.3,0.31,0.01,0.01
1536,ASSAM,22,24,6.9,7.2,378,385,2.5,2.6,0.8,1,360,360,910,910,212,236,0.3,0.31,0.01,0.01
1537,ASSAM,18,26,6.9,7.8,274,366,2.4,2.6,0.8,0.9,-,-,-,-,196,204,0.28,0.31,0.01,0.01
1538,ASSAM,24,24,6.8,6.8,126,126,2,2,1,1,BDL,BDL,BDL,BDL,80,80,0.26,0.26,0.01,0.01
1539,ASSAM,29,29,7.6,7.6,166,166,2.5,2.5,0.9,0.9,-,-,-,-,124,124,0.32,0.32,0.02,0.02
1540,ASSAM,27,30,6.8,6.9,312,318,2.3,2.4,0.7,0.9,-,-,-,-,182,198,0.31,0.32,0.01,0.01
1541,ASSAM,25,25,6.7,6.8,342,346,2.3,2.5,0.8,0.9,-,-,-,-,190,216,0.3,0.31,0.01,0.01
1542,ASSAM,22,30,7.2,7.4,358,363,2.3,2.4,0.8,0.9,-,-,-,-,122,206,0.3,0.33,0.01,0.01
2243,ASSAM,23,23,6.9,7.4,290,295,2.3,2.4,0.9,1,-,-,-,-,168,180,0.29,0.3,0.01,0.01
2244,ASSAM,20,25,6.9,7.1,356,362,2.4,2.6,0.9,1.1,-,-,-,-,202,226,0.28,0.31,0.01,0.01
2245,ASSAM,25,26,6.8,6.9,214,220,2.4,2.6,0.8,0.9,-,-,-,-,126,140,0.29,0.31,0.01,0.01
2246,ASSAM,23,23,7.1,7.1,196,196,2.6,2.6,1.2,1.2,-,-,-,-,136,136,0.33,0.33,0.01,0.01
2247,ASSAM,23,23,7,7,264,264,2.5,2.5,1.4,1.4,-,-,-,-,178,178,0.32,0.32,0.01,0.01
2248,ASSAM,22,26,7.6,7.7,258,262,2.4,2.6,0.7,0.9,-,-,-,-,146,172,0.28,0.33,0.01,0.01
2249,ASSAM,26,26,6.8,7,280,280,2.1,2.6,0.8,1.4,BDL,BDL,BDL,BDL,168,190,0.3,0.33,0.01,0.01
2250,ASSAM,24,24,6.9,7.1,320,324,2.5,2.6,0.9,1,-,-,-,-,180,206,0.29,0.31,0.01,0.02
2251,ASSAM,23,27,6,7,352,358,2.5,2.7,0.9,1,-,-,-,-,202,220,0.29,0.32,0.01,0.01
2252,ASSAM,22,27,7.1,7.6,392,398,2.7,2.8,1,1.1,-,-,-,-,222,242,0.28,0.3,0.01,0.03
2253,ASSAM,19,20,7,7.2,340,344,2.5,2.6,0.9,2.5,-,-,-,-,194,218,0.26,0.3,0.01,0.01
2254,ASSAM,32,32,7.4,7.4,158,158,2.6,2.6,0.9,0.9,-,-,-,-,120,120,0.32,0.32,0.02,0.02
2255,ASSAM,26,30,6.8,7,310,347,2.5,2.6,0.8,0.9,-,-,-,-,196,198,0.28,0.32,0.01,0.02
2256,ASSAM,25,30,6.9,7.7,342,348,2.4,2.5,0.8,1,-,-,-,-,196,212,0.32,0.33,0.01,0.02
2257,ASSAM,24,29,6.8,7.2,316,342,2.4,2.6,0.8,0.9,-,-,-,-,180,210,0.3,0.3,0.01,0.04
2258,ASSAM,27,31,6.8,6.9,332,336,2.3,2.4,1,1.1,-,-,-,-,190,206,0.28,0.31,0.01,0.01
2259,ASSAM,28,28,6.9,6.9,264,264,2.6,2.6,1.6,1.6,-,-,-,-,188,188,0.33,0.33,0.01,0.01
2261,ASSAM,14,14,7,7,113,113,2.2,2.2,1,1,-,-,-,-,72,72,0.28,0.28,0.01,0.01
