STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FLUORIDE_Min,FLUORIDE_Max,Latitude,Longitude
15,ANDHRA PRADESH,23.0,28.0,6.82,7.85,195,226,2.9,2.9,0.1,0.25,22,22,380,380,0.11,0.42,18.608458,79.838778
16,ANDHRA PRADESH,27.0,28.0,7.21,7.72,663,1121,0.2,1.0,21.4,24.0,17,17,1600,1600,0.66,0.72,18.304433,80.207208
26,ANDHRA PRADESH,26.0,32.0,7.19,7.39,1601,1661,0.5,0.5,0.19,0.28,2,2,700,700,0.76,0.92,16.508853,80.641519
27,ANDHRA PRADESH,26.0,27.0,7.82,8.8,1420,1668,3.0,3.5,14.0,22.0,,,10,35,0.1,1.0,16.727994,79.209161
1513,ANDHRA PRADESH,25.0,30.0,6.8,7.11,1454,1575,0.5,0.5,0.18,0.26,2,2,800,800,0.62,0.82,16.501486,80.675692
1514,ANDHRA PRADESH,24.0,31.0,6.77,7.43,1559,1649,0.3,0.4,0.13,0.22,2,2,800,800,0.58,0.74,16.501508,80.676725
1515,ANDHRA PRADESH,22.0,24.0,6.95,7.2,1788,2160,0.5,0.6,1.88,4.28,2,2,600,800,0.68,0.92,17.609781,80.704358
1516,ANDHRA PRADESH,29.0,29.0,7.46,8.04,696,1082,0.5,0.5,0.48,0.87,2,2,800,800,0.56,0.68,14.445036,79.987869
1517,ANDHRA PRADESH,26.0,27.0,7.39,8.0,1240,1662,1.4,2.4,2.0,2.6,3,12,16,28,1.0,2.4,15.8363,78.048593
1518,ANDHRA PRADESH,26.0,28.0,7.17,8.2,1650,2850,1.2,1.6,2.8,8.4,4,12,12,26,0.4,0.67,15.479222,78.480942
1519,ANDHRA PRADESH,18.0,28.0,7.05,7.8,1460,2130,1.2,1.8,16.1,22.0,2,10,9,16,0.3,1.8,13.321417,79.585592
1520,ANDHRA PRADESH,20.0,26.0,7.36,8.4,829,1428,1.4,3.0,0.4,14.0,4,140,6,1200,0.3,4.0,13.758251,79.701872
1521,ANDHRA PRADESH,25.0,27.4,7.5,7.54,3120,4111,1.0,1.0,8.08,13.9,3,3,4,7,0.37,1.14,17.704261,83.211783
1522,ANDHRA PRADESH,25.0,36.0,7.08,7.8,671,1580,1.0,1.5,1.34,24.1,3,3,23,210,0.43,1.4,18.104532,83.397197
1523,ANDHRA PRADESH,24.2,25.0,7.6,7.71,234,370,0.8,1.0,0.32,1.68,3,3,3,15,0.12,0.12,17.015144,81.736181
1524,ANDHRA PRADESH,25.0,26.0,7.2,7.38,875,1345,1.0,1.4,0.76,10.06,3,3,11,23,0.08,0.31,16.971003,82.219006
1525,ANDHRA PRADESH,26.0,26.0,6.9,6.9,1925,1925,2.5,2.5,6.0,6.0,,,12,12,0.8,0.8,17.532322,78.185211
1791,ANDHRA PRADESH,28.0,29.0,6.76,7.43,2610,4525,0.7,0.7,0.01,0.019,350,350,1600,1600,1.6,2.08,17.956317,79.618808
1792,ANDHRA PRADESH,26.0,28.0,6.87,7.38,2377,3120,0.3,1.2,40.1,87.0,32,32,240,240,1.28,1.73,17.985717,79.624981
1793,ANDHRA PRADESH,25.0,28.0,7.35,7.93,1664,1975,1.5,2.3,22.0,25.4,22,22,1600,1600,1.47,1.74,18.762806,79.481267
