STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
15.0,ANDHRA PRADESH,0.0,0.0,8.0,8.1,208.0,208.0,0.0,0.0,0.0,3.6,,,,,18.608458,79.838778
16.0,ANDHRA PRADESH,29.0,29.0,7.0,7.5,1062.0,1096.0,1.0,1.0,0.4,2.6,,,,,18.304433,80.207208
26.0,ANDHRA PRADESH,22.0,23.0,7.0,7.7,1266.0,1636.0,0.4,0.4,4.2,5.2,2.0,2.0,400.0,400.0,16.508853,80.641519
27.0,ANDHRA PRADESH,30.0,30.0,8.0,8.1,1208.0,1407.0,,,6.0,8.0,10.0,10.0,24.0,24.0,16.727994,79.209161
1513.0,ANDHRA PRADESH,22.0,23.0,7.0,7.4,1419.0,2043.0,,,1.3,2.4,2.0,2.0,200.0,400.0,16.501486,80.675692
1514.0,ANDHRA PRADESH,23.0,23.0,7.0,7.4,1498.0,2300.0,2.0,2.0,0.3,5.2,2.0,2.0,400.0,400.0,16.501508,80.676725
1515.0,ANDHRA PRADESH,27.0,27.0,7.0,7.4,1862.0,2210.0,1.0,1.0,0.4,4.0,,,,,17.609781,80.704358
1516.0,ANDHRA PRADESH,20.0,20.0,7.0,8.0,1146.0,1220.0,,,0.4,0.7,2.0,2.0,400.0,600.0,14.445036,79.987869
1517.0,ANDHRA PRADESH,26.0,35.0,7.0,8.2,2926.0,3740.0,1.0,1.7,1.3,3.2,,,16.0,22.0,15.8363,78.048593
1518.0,ANDHRA PRADESH,28.0,34.0,7.0,8.1,3430.0,5240.0,1.0,3.1,1.8,4.0,,,18.0,30.0,15.479222,78.480942
1519.0,ANDHRA PRADESH,26.0,30.0,7.0,8.1,744.0,911.0,0.8,1.3,1.6,3.9,,,20.0,30.0,13.321417,79.585592
1520.0,ANDHRA PRADESH,26.0,30.0,8.0,8.4,730.0,889.0,0.8,1.6,1.0,2.3,,,18.0,22.0,13.758251,79.701872
1521.0,ANDHRA PRADESH,27.0,27.0,8.0,8.0,1811.0,2038.0,1.0,1.2,1.9,7.0,20.0,93.0,240.0,2400.0,17.704261,83.211783
1522.0,ANDHRA PRADESH,24.0,28.0,7.0,8.1,491.0,1211.0,1.0,2.0,0.3,2.0,3.0,15.0,15.0,1100.0,18.104532,83.397197
1523.0,ANDHRA PRADESH,26.0,28.0,8.0,7.9,272.0,327.0,0.6,1.0,0.1,0.3,3.0,3.0,11.0,21.0,17.015144,81.736181
1524.0,ANDHRA PRADESH,26.0,27.0,7.0,7.4,1411.0,1700.0,0.8,1.0,0.8,1.0,3.0,9.0,7.0,93.0,16.971003,82.219006
1525.0,ANDHRA PRADESH,27.0,27.0,8.0,8.0,2084.0,2113.0,0.5,0.5,12.0,14.0,15.0,15.0,60.0,60.0,17.532322,78.185211
1791.0,ANDHRA PRADESH,27.0,27.0,8.0,7.8,839.0,1132.0,1.0,1.2,0.6,4.0,,,,,17.956317,79.618808
1792.0,ANDHRA PRADESH,28.0,28.0,7.0,7.6,1536.0,2250.0,1.0,1.6,3.8,4.9,,,,,17.985717,79.624981
1793.0,ANDHRA PRADESH,27.0,27.0,8.0,7.9,1893.0,1904.0,1.0,1.0,0.4,1.0,,,,,18.762806,79.481267
1794.0,ANDHRA PRADESH,28.0,28.0,8.0,7.7,868.0,1109.0,1.0,1.0,1.0,2.4,,,,,18.400128,79.191556
1795.0,ANDHRA PRADESH,32.0,32.0,8.0,8.6,1614.0,1705.0,,,8.0,11.0,9.0,9.0,56.0,56.0,17.873928,78.100156
1810.0,ANDHRA PRADESH,28.0,28.0,8.0,7.8,1975.0,2284.0,,,2.9,13.0,9.0,9.0,56.0,56.0,18.66591,77.904013
1811.0,ANDHRA PRADESH,29.0,29.0,7.0,7.4,1536.0,1758.0,2.0,2.0,0.7,1.0,9.0,9.0,35.0,35.0,17.471922,78.795814
3087.0,ANDHRA PRADESH,22.0,25.0,7.0,7.7,1858.0,4890.0,0.6,0.6,5.1,8.5,2.0,2.0,400.0,400.0,16.57873,80.665263
3088.0,ANDHRA PRADESH,21.0,21.0,6.9,7.1,1274.0,1775.0,1.0,2.0,0.9,4.1,,,,,17.687879,80.871767
3089.0,ANDHRA PRADESH,26.0,28.0,8.0,7.9,2116.0,2480.0,1.0,1.0,3.5,5.9,15.0,15.0,93.0,2400.0,17.647774,83.07053
3090.0,ANDHRA PRADESH,25.0,27.0,8.0,7.8,1811.0,1903.0,1.0,1.2,6.5,9.3,9.0,23.0,93.0,2400.0,17.694566,83.231092
3091.0,ANDHRA PRADESH,25.0,25.0,7.0,7.5,3010.0,3200.0,0.8,1.2,6.6,8.9,7.0,7.0,43.0,43.0,17.845289,83.368911
3092.0,ANDHRA PRADESH,24.0,25.0,8.0,8.0,800.0,962.0,1.0,1.0,2.9,5.7,2.0,15.0,93.0,150.0,18.57652,84.015135
3093.0,ANDHRA PRADESH,24.0,26.0,7.0,7.5,2398.0,2442.0,1.0,1.4,4.3,4.5,4.0,4.0,15.0,15.0,18.135208,83.61347
3094.0,ANDHRA PRADESH,28.0,28.0,7.0,8.0,912.0,944.0,0.0,1.0,0.2,4.3,,,,,18.421454,79.172351
1533.0,ASSAM,23.0,25.0,6.0,6.3,211.0,660.0,0.6,5.0,0.4,3.3,73.0,12000.0,24000.0,29000.0,27.396089,95.631783
1534.0,ASSAM,22.0,24.0,6.0,6.9,250.0,626.0,0.6,0.8,0.4,3.0,73.0,4600.0,290.0,24000.0,26.105415,93.113917
1535.0,ASSAM,20.0,25.0,6.0,7.7,258.0,370.0,1.0,2.7,1.9,3.0,0.0,0.0,36.0,300.0,26.98,94.63
1536.0,ASSAM,20.0,22.0,7.0,7.1,231.0,238.0,1.3,2.6,0.1,0.2,0.0,0.0,0.0,0.0,26.979722,94.632211
1537.0,ASSAM,22.0,24.0,7.0,8.1,87.0,203.0,0.7,2.3,0.3,4.2,0.0,280.0,0.0,281.0,26.750143,94.219855
1538.0,ASSAM,22.0,26.0,5.0,6.1,65.0,72.0,0.8,2.0,1.1,1.6,0.0,0.0,0.0,230.0,24.820617,92.802431
1539.0,ASSAM,26.0,28.0,7.0,8.2,214.0,587.0,0.9,1.2,0.1,0.1,0.0,0.0,36.0,72.0,26.315597,90.996408
1540.0,ASSAM,26.0,27.0,7.0,6.8,34.0,112.0,0.9,1.1,0.1,4.8,0.0,0.0,0.0,0.0,26.48,90.56
1541.0,ASSAM,25.0,25.0,7.0,6.6,664.0,664.0,3.4,3.4,8.7,8.7,930.0,930.0,1500.0,1500.0,26.145228,91.736806
1542.0,ASSAM,24.0,28.0,7.0,7.4,246.0,761.0,0.8,2.3,0.6,1.7,0.0,750.0,0.0,1200.0,26.1441,91.735194
2243.0,ASSAM,25.0,27.0,5.0,7.8,135.0,298.0,1.0,2.6,0.1,0.1,0.0,0.0,0.0,0.0,27.28822,95.680737
2244.0,ASSAM,20.0,22.0,7.0,7.7,138.0,242.0,0.6,1.7,0.3,3.1,0.0,0.0,0.0,91.0,26.92,94.73
2245.0,ASSAM,21.0,26.0,6.0,6.5,138.0,429.0,0.5,0.7,0.7,1.5,0.0,0.0,0.0,0.0,26.5885,93.748586
2246.0,ASSAM,23.0,25.0,7.0,7.8,172.0,208.0,0.6,0.8,0.1,1.5,0.0,360.0,0.0,440.0,26.200386,92.937992
2247.0,ASSAM,23.0,25.0,6.0,7.5,126.0,345.0,0.6,1.9,0.3,1.7,0.0,0.0,0.0,0.0,27.595294,94.724003
2248.0,ASSAM,26.0,26.0,6.0,6.6,145.0,234.0,0.8,1.3,2.1,6.4,30.0,110.0,61.0,2100.0,27.224728,94.107373
2249.0,ASSAM,22.0,28.0,6.0,6.8,112.0,153.0,0.7,0.9,0.4,2.3,0.0,0.0,0.0,1500.0,26.65285,92.792558
2250.0,ASSAM,26.0,28.0,7.0,7.1,235.0,314.0,0.8,1.2,1.7,2.2,0.0,0.0,0.0,0.0,26.350383,92.679592
2251.0,ASSAM,26.0,29.0,7.0,7.0,259.0,718.0,0.7,0.8,0.8,11.0,0.0,200.0,0.0,24000.0,26.1277,92.215749
2252.0,ASSAM,25.0,26.0,7.0,6.9,204.0,257.0,0.8,1.0,0.1,1.0,0.0,0.0,0.0,360.0,26.105147,91.712525
2253.0,ASSAM,27.0,28.0,7.0,6.9,230.0,305.0,0.8,1.6,1.0,1.2,0.0,0.0,0.0,0.0,26.444617,91.441053
2254.0,ASSAM,26.0,28.0,7.0,8.2,612.0,703.0,0.8,1.5,0.2,1.3,0.0,0.0,0.0,140.0,26.5,90.97
2255.0,ASSAM,25.0,27.0,6.0,6.5,88.0,95.0,0.4,1.0,0.1,3.3,0.0,0.0,0.0,93.0,26.515756,90.532872
2256.0,ASSAM,25.0,30.0,6.0,7.1,124.0,181.0,0.6,0.9,0.2,0.5,0.0,0.0,0.0,0.0,26.403904,90.262979
