STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
26.0,ANDHRA PRADESH,25.0,26.0,3.9,4.8,7.8,7.9,1814.0,1841.0,0.8,1.4,0.48,3.43,2.0,3.0,39.0,400.0,16.508853,80.641519
1513.0,ANDHRA PRADESH,26.0,26.0,3.8,4.5,7.4,7.7,1796.0,1873.0,0.8,1.4,0.74,3.81,2.0,3.0,64.0,800.0,16.501486,80.675692
1514.0,ANDHRA PRADESH,25.0,26.0,4.8,5.1,7.4,7.7,1561.0,1875.0,1.2,4.1,0.83,0.85,2.0,3.0,21.0,400.0,16.501508,80.676725
1516.0,ANDHRA PRADESH,19.0,19.0,3.8,3.9,7.8,8.1,890.0,1566.0,1.2,1.2,1.50,1.66,2.0,3.0,21.0,400.0,14.445036,79.987869
1517.0,ANDHRA PRADESH,22.0,22.0,4.5,4.5,7.5,7.5,5010.0,5010.0,0.8,0.8,4.00,4.00,2.0,2.0,2.0,2.0,15.8363,78.048593
1518.0,ANDHRA PRADESH,21.0,23.0,4.6,5.7,6.8,7.2,6620.0,7410.0,0.7,0.8,2.10,3.96,2.0,2.0,2.0,2.0,15.479222,78.480942
1519.0,ANDHRA PRADESH,29.0,30.0,4.2,4.8,6.6,7.0,1820.0,2160.0,0.5,1.0,1.70,2.90,2.0,2.0,2.0,2.0,13.321417,79.585592
1520.0,ANDHRA PRADESH,29.0,30.0,4.4,5.3,6.7,7.4,789.0,830.0,0.5,0.8,1.20,2.14,2.0,2.0,2.0,2.0,13.758251,79.701872
1521.0,ANDHRA PRADESH,28.0,28.0,4.5,5.6,7.4,8.5,2229.0,2295.0,1.2,1.5,10.81,16.35,11.0,21.0,150.0,240.0,17.704261,83.211783
1522.0,ANDHRA PRADESH,27.0,27.0,4.0,4.5,7.0,8.3,597.0,2669.0,1.0,1.4,0.38,10.47,9.0,11.0,93.0,150.0,18.104532,83.397197
1523.0,ANDHRA PRADESH,29.0,31.0,4.2,5.2,7.4,7.4,289.0,326.0,0.8,1.7,0.09,0.28,3.0,4.0,28.0,45.0,17.015144,81.736181
1524.0,ANDHRA PRADESH,27.0,30.0,5.6,5.8,7.6,7.8,1089.0,2641.0,1.1,1.3,1.17,2.27,7.0,9.0,93.0,120.0,16.971003,82.219006
3087.0,ANDHRA PRADESH,26.0,28.0,4.1,4.5,7.5,7.8,2093.0,2152.0,0.8,1.0,2.74,2.80,2.0,3.0,75.0,800.0,16.57873,80.665263
3089.0,ANDHRA PRADESH,28.0,28.0,4.0,5.0,7.6,8.7,982.0,2359.0,2.0,2.0,9.98,10.84,11.0,15.0,21.0,150.0,17.647774,83.07053
3090.0,ANDHRA PRADESH,27.0,28.0,3.3,5.8,7.1,7.6,3543.0,4652.0,0.3,1.6,11.27,23.85,9.0,15.0,23.0,150.0,17.694566,83.231092
3091.0,ANDHRA PRADESH,27.0,28.0,5.4,5.5,7.4,7.5,1997.0,2849.0,1.3,1.9,5.09,5.22,7.0,9.0,93.0,240.0,17.845289,83.368911
3092.0,ANDHRA PRADESH,26.0,27.0,4.5,4.8,7.3,8.4,1059.0,1200.0,0.5,1.3,8.14,10.53,7.0,15.0,63.0,150.0,18.57652,84.015135
3093.0,ANDHRA PRADESH,28.0,29.0,4.7,5.0,7.8,8.2,1274.0,1876.0,0.8,2.6,10.41,20.06,7.0,11.0,110.0,110.0,18.135208,83.61347
4350.0,ANDHRA PRADESH,26.0,26.0,6.0,6.3,7.0,7.9,967.0,1291.0,0.6,1.7,10.50,11.22,7.0,7.0,63.0,63.0,18.700542,84.433441
4353.0,ANDHRA PRADESH,25.0,25.0,6.1,6.1,7.5,7.5,2457.0,2457.0,1.0,1.0,10.96,10.96,4.0,4.0,63.0,63.0,18.279708,83.333591
4354.0,ANDHRA PRADESH,25.0,25.0,6.8,6.8,7.9,7.9,13150.0,13150.0,2.3,2.3,5.30,5.30,9.0,9.0,39.0,39.0,17.808522,83.190609
4355.0,ANDHRA PRADESH,26.0,26.0,7.2,7.2,7.5,7.5,314.0,314.0,1.1,1.1,9.97,9.97,15.0,15.0,75.0,75.0,17.933387,83.456397
4360.0,ANDHRA PRADESH,25.0,25.0,5.1,5.1,7.1,7.1,1560.0,1560.0,1.2,1.2,8.94,8.94,4.0,4.0,93.0,93.0,16.986264,82.234925
4364.0,ANDHRA PRADESH,27.0,27.0,4.9,4.9,7.3,7.3,892.0,892.0,1.5,1.5,7.65,7.65,4.0,4.0,69.0,69.0,17.03405,81.776891
4376.0,ANDHRA PRADESH,25.0,29.0,4.0,4.2,7.6,7.9,2990.0,3082.0,1.2,1.2,3.22,3.84,2.0,3.0,400.0,460.0,16.62096,80.541348
4377.0,ANDHRA PRADESH,26.0,26.0,3.9,4.2,7.9,8.5,1770.0,5590.0,0.8,0.8,2.84,4.02,2.0,3.0,23.0,800.0,16.209873,81.158475
4380.0,ANDHRA PRADESH,21.0,22.0,4.3,4.5,7.1,7.5,782.0,972.0,0.8,0.8,3.60,4.97,2.0,3.0,28.0,220.0,16.512728,80.55287
4382.0,ANDHRA PRADESH,21.0,21.0,4.4,4.4,7.5,7.5,3800.0,3800.0,0.8,0.8,6.00,6.00,3.0,3.0,15.0,15.0,16.328558,80.483568
4384.0,ANDHRA PRADESH,24.0,30.0,4.2,4.6,7.4,8.2,6320.0,10000.0,0.8,1.8,5.40,9.20,2.0,3.0,120.0,380.0,15.467752,80.017805
4392.0,ANDHRA PRADESH,28.0,36.0,4.8,5.3,6.5,6.9,1230.0,1280.0,0.5,0.5,1.13,3.60,2.0,2.0,2.0,2.0,13.630074,79.416241
4393.0,ANDHRA PRADESH,24.0,26.0,3.6,4.2,7.2,7.4,2870.0,3230.0,0.7,2.6,3.60,9.50,2.0,2.0,2.0,2.0,14.447187,78.808212
4394.0,ANDHRA PRADESH,25.0,26.0,4.2,4.4,6.4,7.0,2370.0,3470.0,0.5,1.5,2.10,19.60,2.0,2.0,2.0,2.0,13.725328,77.512282
4395.0,ANDHRA PRADESH,21.0,25.0,4.2,4.4,6.7,7.2,2240.0,2820.0,0.7,0.7,1.90,2.70,2.0,2.0,2.0,2.0,14.690736,77.572373
1533.0,ASSAM,19.0,26.0,0.0,0.0,6.5,6.8,145.0,452.0,1.7,2.6,0.80,0.80,2.0,2.0,2.0,2.0,27.396089,95.631783
1534.0,ASSAM,21.0,26.0,0.0,0.0,6.6,7.0,60.0,97.0,1.6,3.8,1.00,1.10,2.0,2.0,2.0,2.0,26.105415,93.113917
1535.0,ASSAM,23.0,25.0,0.0,0.0,7.1,7.6,213.0,290.0,1.8,2.8,1.00,1.20,2.0,2.0,2.0,2.0,26.98,94.63
