STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max,Latitude,Longitude
26,ANDHRA PRADESH,24,25,7.7,7.8,1742,1894,BDL,BDL,0.54,0.63,3,3,24,28,BDL,BDL,1026,1210,0.72,1.2,BDL,BDL,16.508853,80.641519
1513,ANDHRA PRADESH,24,24,7.7,7.8,1920,1926,BDL,1.2,0.57,0.82,3,3,75,75,BDL,BDL,1140,1190,0.26,0.92,BDL,BDL,16.501486,80.675692
1514,ANDHRA PRADESH,24,25,7.6,7.8,1859,1924,1.2,1.4,0.53,0.9,3,3,39,64,BDL,BDL,1100,1220,0.34,1.04,BDL,BDL,16.501508,80.676725
1516,ANDHRA PRADESH,27,27,8.2,8.2,984,984,BDL,BDL,1.74,1.74,3,3,23,23,BDL,BDL,600,600,1.16,1.16,-,-,14.445036,79.987869
1517,ANDHRA PRADESH,22,28,6.8,7.5,4640,5860,BDL,2.2,6.61,7.2,BDL,BDL,BDL,BDL,-,-,3248,3517,1.5,1.9,-,-,15.8363,78.048593
1518,ANDHRA PRADESH,20,27,6.1,7.2,4820,6546,BDL,2.8,1.83,10.6,BDL,BDL,BDL,BDL,-,-,2896,4582,1,1.2,-,-,15.479222,78.480942
1519,ANDHRA PRADESH,26,30,6.2,6.9,1620,1756,1.2,1.8,2.9,4.32,BDL,BDL,BDL,BDL,-,-,973,1226,0.5,0.6,-,-,13.321417,79.585592
1520,ANDHRA PRADESH,28,29,6.8,6.9,837,1310,BDL,2.5,1.54,5.17,BDL,BDL,BDL,BDL,-,-,586,784,0.5,0.5,-,-,13.758251,79.701872
1521,ANDHRA PRADESH,26,26,7.8,7.8,1880,3010,2,2.9,2.3,6.67,4,4,69,93,-,-,1212,1888,0.89,1.15,BDL,BDL,17.704261,83.211783
1522,ANDHRA PRADESH,26,28,7.3,8.4,1950,2060,1.1,2.3,2.28,3.46,3,4,39,64,-,-,1320,1396,0.21,0.98,BDL,BDL,18.104532,83.397197
1523,ANDHRA PRADESH,22,29,7.5,7.9,234,612,1.8,1.9,BDL,4.9,3,7,28,75,-,-,160,394,BDL,0.38,BDL,BDL,17.015144,81.736181
1524,ANDHRA PRADESH,27,30,7.1,7.8,1740,1820,1.6,2.5,0.97,12.26,3,4,64,93,-,-,1180,1240,0.58,0.92,BDL,BDL,16.971003,82.219006
3087,ANDHRA PRADESH,26,26,7.3,7.5,2279,2992,BDL,1.2,4.26,7.35,3,3,23,64,BDL,BDL,1340,1820,0.56,0.67,BDL,BDL,16.57873,80.665263
3089,ANDHRA PRADESH,26,27,7.4,8,1480,2220,1.2,1.4,5.94,23.72,3,7,75,93,-,-,1244,1540,0.8,0.9,BDL,BDL,17.647774,83.07053
3090,ANDHRA PRADESH,26,27,7.1,7.6,2350,3280,BDL,1.5,4.44,7.47,4,9,64,120,-,-,1612,2216,0.23,0.74,BDL,BDL,17.694566,83.231092
3091,ANDHRA PRADESH,25,28,7.9,7.9,4520,5670,1.9,2.4,7.1,90.73,3,7,75,93,-,-,3160,3844,BDL,0.51,BDL,BDL,17.845289,83.368911
3092,ANDHRA PRADESH,26,27,7.4,8.5,960,1840,1.5,2,2.42,6.67,4,7,69,75,BDL,BDL,648,1244,0.62,1.15,BDL,BDL,18.57652,84.015135
3093,ANDHRA PRADESH,28,28,7.1,7.9,950,1280,1.2,2,7.14,7.81,4,7,69,75,-,-,644,872,0.24,1.75,BDL,BDL,18.135208,83.61347
4350,ANDHRA PRADESH,27,30,7.4,7.8,1040,1050,1.4,2.3,3.23,5.5,4,7,75,75,-,-,704,708,0.42,0.47,BDL,BDL,18.700542,84.433441
4353,ANDHRA PRADESH,24,26,7.5,7.5,2360,8452,1.8,2.5,1.06,6.46,3,4,39,75,-,-,1648,5524,0.42,0.56,BDL,BDL,18.279708,83.333591
4354,ANDHRA PRADESH,23,26,7.2,7.8,11500,13520,BDL,2.5,6.47,7.85,4,11,69,150,-,-,7348,9196,0.86,1.29,BDL,BDL,17.808522,83.190609
4355,ANDHRA PRADESH,24,26,7,7.5,720,1370,1.2,2.1,7.39,11.09,3,7,75,93,-,-,492,956,0.46,0.64,BDL,BDL,17.933387,83.456397
4360,ANDHRA PRADESH,25,26,7.9,8.1,1480,1790,BDL,2,4.49,6.51,3,4,69,75,-,-,1020,1140,BDL,0.43,BDL,BDL,16.986264,82.234925
4364,ANDHRA PRADESH,26,26,8,8,631,631,1.9,1.9,0.85,0.85,4,4,64,64,-,-,428,428,0.37,0.37,BDL,BDL,17.03405,81.776891
4376,ANDHRA PRADESH,27,27,7.5,8.1,2932,3624,1.2,2,2.66,3.58,3,3,75,75,BDL,BDL,1904,2170,0.7,1.39,0.02,0.02,16.62096,80.541348
4377,ANDHRA PRADESH,26,27,7.9,8.2,1820,1850,BDL,BDL,2.92,2.94,3,3,23,28,BDL,BDL,1100,1150,0.92,1.2,BDL,BDL,16.209873,81.158475
4380,ANDHRA PRADESH,21,27,7.5,7.8,670,922,BDL,BDL,1.45,1.66,3,3,15,23,BDL,BDL,410,570,0.54,0.58,BDL,BDL,16.512728,80.55287
4382,ANDHRA PRADESH,23,24,7.1,7.4,4240,4525,1.2,2.2,3.5,3.6,3,3,23,78,BDL,BDL,2670,2760,0.88,2.11,-,-,16.328558,80.483568
4384,ANDHRA PRADESH,27,31,7.2,7.8,8319,15660,1.4,2.6,4.62,6.84,3,3,43,150,BDL,BDL,5240,9860,1.04,1.7,-,-,15.467752,80.017805
