STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max,Latitude,Longitude
3093,ANDHRA PRADESH,29.0,30.0,7.3,7.4,840,1481,2.0,2.1,0.90,16.75,2,4,64,75,584,980,0.4,0.8,0.001,0.001,18.135208,83.61347
3092,ANDHRA PRADESH,28.0,31.0,7.4,8.1,712,1139,2.0,2.4,0.90,7.95,3,4,64,75,492,754,1.0,1.1,0.001,0.001,18.57652,84.015135
4360,ANDHRA PRADESH,27.0,29.0,7.7,7.8,990,1280,1.8,2.0,1.00,3.48,2,7,75,93,660,868,0.4,0.4,0.007,0.009,16.986264,82.234925
3091,ANDHRA PRADESH,26.0,26.0,7.0,7.1,3340,4260,2.2,3.6,4.90,41.60,4,7,93,93,2320,2832,0.8,1.1,0.001,0.001,17.845289,83.368911
4353,ANDHRA PRADESH,25.0,27.0,7.9,8.1,2660,3940,1.4,2.7,3.00,46.25,3,4,63,93,1844,2640,0.4,0.5,0.001,0.001,18.279708,83.333591
3087,ANDHRA PRADESH,24.0,27.0,7.5,7.8,2031,2050,1.4,1.8,0.97,7.10,3,3,21,28,1210,1218,0.4,1.0,0.001,0.001,16.57873,80.665263
4355,ANDHRA PRADESH,25.0,27.0,7.9,8.0,660,1482,2.2,2.2,2.05,3.60,4,7,43,120,442,980,0.4,1.4,0.001,0.001,17.933387,83.456397
4354,ANDHRA PRADESH,25.0,27.0,7.4,7.6,11120,11420,2.2,2.5,2.20,15.40,7,9,120,150,7340,7968,0.3,0.7,0.001,0.001,17.808522,83.190609
4394,ANDHRA PRADESH,26.0,28.0,6.9,7.1,1584,3239,1.0,1.0,5.80,7.90,2,4,2,21,901,1764,0.6,1.3,0.001,0.001,13.725328,77.512282
4395,ANDHRA PRADESH,26.0,28.0,7.0,7.1,3558,3780,1.0,1.0,10.40,11.40,2,6,2,33,1868,2144,0.5,1.5,0.001,0.001,14.690736,77.572373
4377,ANDHRA PRADESH,27.0,27.0,8.1,8.1,1896,1920,1.4,1.8,0.30,2.80,3,3,14,21,1158,1170,0.8,0.9,0.001,0.001,16.209873,81.158475
1519,ANDHRA PRADESH,28.0,29.0,7.1,7.3,1872,2741,1.0,1.0,5.20,6.80,2,4,2,16,1061,1361,0.5,0.5,0.001,0.001,13.321417,79.585592
1518,ANDHRA PRADESH,23.0,27.0,7.2,7.3,6619,7770,1.0,1.0,5.80,6.20,2,2,2,14,4068,4413,1.0,1.1,0.001,0.001,15.479222,78.480942
4364,ANDHRA PRADESH,28.0,28.0,7.6,7.6,1048,1048,1.5,1.5,3.22,3.22,3,3,93,93,680,680,0.7,0.7,0.001,0.001,17.03405,81.776891
4350,ANDHRA PRADESH,24.0,24.0,7.1,7.1,1140,1140,2.4,2.4,8.00,8.00,4,4,93,93,746,746,0.8,0.8,0.002,0.003,18.700542,84.433441
4384,ANDHRA PRADESH,22.0,23.0,7.2,7.3,9090,10500,2.0,2.2,5.20,7.41,3,3,23,28,5634,6600,1.4,1.7,0.001,0.001,15.467752,80.017805
1513,ANDHRA PRADESH,25.0,25.0,7.1,7.8,1877,1970,1.4,1.8,0.30,0.70,3,3,21,39,1120,1160,0.3,0.3,0.001,0.001,16.501486,80.675692
1523,ANDHRA PRADESH,24.0,26.0,7.0,7.6,310,1447,2.0,2.0,0.79,1.10,4,7,75,93,212,988,0.2,1.1,0.001,0.001,17.015144,81.736181
4392,ANDHRA PRADESH,27.0,27.0,6.9,7.5,1380,1414,1.0,1.0,1.40,2.60,2,3,2,12,714,784,0.6,1.1,0.001,0.001,13.630074,79.416241
1520,ANDHRA PRADESH,28.0,29.0,7.3,7.3,1027,1266,1.0,1.0,2.20,2.40,2,2,2,11,582,642,0.4,0.5,0.002,0.002,13.758251,79.701872
1517,ANDHRA PRADESH,23.0,26.0,7.8,7.9,4520,5663,1.0,1.0,6.70,10.10,2,3,2,29,2568,3370,1.3,1.8,0.001,0.001,15.8363,78.048593
1516,ANDHRA PRADESH,20.0,21.0,8.1,8.1,1080,1100,1.2,1.4,1.10,1.18,3,3,15,21,630,658,0.4,0.5,0.001,0.001,14.445036,79.987869
1514,ANDHRA PRADESH,25.0,25.0,7.2,7.9,1780,2080,1.4,1.8,0.30,0.60,3,3,20,23,1050,1220,0.2,0.5,0.001,0.001,16.501508,80.676725
4376,ANDHRA PRADESH,26.0,26.0,7.1,7.6,3850,3860,2.0,2.2,2.47,3.80,3,3,20,21,2310,2348,0.8,1.0,0.001,0.001,16.62096,80.541348
4380,ANDHRA PRADESH,22.0,22.0,7.1,7.5,860,899,1.0,1.8,0.30,1.50,3,3,14,15,508,550,0.5,0.6,0.001,0.001,16.512728,80.55287
4382,ANDHRA PRADESH,21.0,22.0,7.1,8.1,4450,4580,2.0,2.2,3.50,3.86,3,3,28,28,2790,2840,0.2,0.8,0.001,0.001,16.328558,80.483568
4393,ANDHRA PRADESH,24.0,25.0,7.3,7.4,2810,3352,1.0,1.0,10.40,13.10,2,9,2,71,1589,1785,0.6,1.2,0.004,0.004,14.447187,78.808212
3090,ANDHRA PRADESH,27.0,27.0,6.7,7.6,1610,1983,2.2,2.2,2.50,18.80,3,4,75,75,1120,1312,0.3,0.5,0.001,0.001,17.694566,83.231092
3089,ANDHRA PRADESH,27.0,28.0,7.2,7.9,2180,2180,2.1,2.2,1.60,13.10,4,4,75,93,1480,1524,1.1,1.3,0.001,0.001,17.647774,83.07053
1524,ANDHRA PRADESH,27.0,30.0,7.3,7.7,1147,1295,2.1,2.1,0.90,4.78,4,4,75,75,784,848,0.3,1.0,0.001,0.001,16.971003,82.219006
1521,ANDHRA PRADESH,26.0,27.0,6.8,7.5,1977,2580,1.8,4.0,1.50,12.40,7,7,93,120,1296,1812,0.8,0.8,0.001,0.001,17.704261,83.211783
1522,ANDHRA PRADESH,27.0,28.0,7.4,7.9,1120,1190,1.6,2.1,1.50,2.87,3,9,75,75,780,792,0.5,0.8,0.001,0.001,18.104532,83.397197
26,ANDHRA PRADESH,25.0,25.0,7.0,8.1,1597,2160,1.0,2.2,0.70,1.89,3,3,20,23,942,1314,0.4,0.7,0.001,0.001,16.508853,80.641519
1537,ASSAM,25.0,26.0,7.0,7.2,276,278,2.3,2.3,0.70,0.80,2,2,2,2,156,224,0.3,0.3,0.010,0.010,26.750143,94.219855
1539,ASSAM,30.0,31.0,7.4,7.5,304,329,2.0,2.1,0.80,0.80,2,2,2,2,172,180,0.3,0.3,0.010,0.010,26.315597,90.996408
1540,ASSAM,27.0,29.0,7.2,7.6,366,390,2.0,2.6,0.70,1.00,2,2,2,2,202,218,0.3,0.3,0.010,0.010,26.48,90.56
1533,ASSAM,24.0,26.0,6.8,7.1,328,332,2.3,2.5,1.10,1.40,2,2,2,2,184,218,0.2,0.3,0.010,0.010,27.396089,95.631783
1534,ASSAM,25.0,25.0,7.2,7.2,308,308,2.3,2.3,0.80,0.80,-,-,-,-,176,176,0.3,0.3,-,-,26.105415,93.113917
1541,ASSAM,27.0,29.0,7.3,7.6,401,408,2.3,2.5,0.80,1.00,2,2,2,2,218,224,0.3,0.3,0.010,0.010,26.145228,91.736806
1535,ASSAM,25.0,26.0,6.8,7.3,284,288,2.2,2.6,0.70,0.80,2,2,2,2,160,166,0.3,0.3,0.010,0.010,26.98,94.63
1542,ASSAM,27.0,28.0,7.8,7.8,352,354,2.0,2.6,0.80,1.00,2,2,2,2,194,200,0.3,0.4,0.010,0.010,26.1441,91.735194
1538,ASSAM,23.0,23.0,6.8,7.4,196,291,2.1,2.2,0.80,0.90,2,2,2,2,118,166,0.3,0.3,-,-,24.820617,92.802431
4328,ASSAM,26.0,26.0,7.7,7.7,315,315,2.0,2.0,0.90,0.90,-,-,-,-,178,178,0.3,0.3,-,-,26.70409,92.450585
4338,ASSAM,23.0,28.0,6.7,7.8,262,266,1.8,2.2,0.80,1.00,2,2,2,2,142,150,0.3,0.3,-,-,26.930067,94.818487
4335,ASSAM,23.0,25.0,6.8,8.0,248,259,2.1,2.3,0.90,1.10,2,2,2,2,140,148,0.3,0.3,0.010,0.010,26.811289,94.520046
2254,ASSAM,25.0,32.0,7.6,7.6,311,322,2.0,2.2,0.70,0.90,2,2,2,2,170,180,0.3,0.3,0.010,0.010,26.5,90.97
3816,ASSAM,26.0,28.0,7.4,7.7,295,351,2.0,2.1,0.70,1.00,2,2,2,2,168,198,0.3,0.3,-,-,26.105895,91.788621
3761,ASSAM,26.0,30.0,7.6,7.8,258,262,2.2,2.3,0.80,0.80,2,2,2,2,148,148,0.3,0.3,0.010,0.010,26.677976,93.140501
3813,ASSAM,25.0,29.0,7.6,8.0,365,370,2.3,2.3,0.80,0.80,2,2,2,2,202,204,0.3,0.3,0.010,0.010,26.167846,91.829173
4333,ASSAM,22.0,26.0,7.3,7.4,235,280,2.0,2.0,0.80,0.90,2,2,2,2,136,158,0.3,0.3,0.010,0.010,27.126326,94.741545
2257,ASSAM,34.0,37.0,7.3,7.4,308,356,2.4,2.6,0.90,1.00,2,2,2,2,176,196,0.2,0.3,0.010,0.010,26.026696,89.970706
2259,ASSAM,26.0,26.0,7.0,7.0,312,312,2.2,2.2,0.90,0.90,-,-,-,-,180,180,0.3,0.3,-,-,25.84274,93.425589
3779,ASSAM,21.0,25.0,7.2,7.7,261,390,2.4,2.4,0.80,0.90,2,2,2,2,148,218,0.3,0.3,0.001,0.001,26.931679,94.173072
