STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
1867,HIMACHAL PRADESH,9,13,9.7,10,7.3,8.2,116,601,0.1,0.2,0,0.1,,,,
2611,HIMACHAL PRADESH,9,13,9.6,10.1,7.3,8.3,118,592,0.1,0.2,0,0.1,,,,
1389,HIMACHAL PRADESH,10,15,9.4,9.7,7.3,8.2,67,595,0.1,0.2,0,0.2,,,,
1086,HIMACHAL PRADESH,11,17,9.2,9.6,7.2,8.6,117,603,0.1,0.2,0,0.1,,,,
1087,HIMACHAL PRADESH,10,17,9.1,9.6,7.4,8.5,116,598,0.1,0.2,0,0.1,,,,
1013,HIMACHAL PRADESH,11,18,9,9.8,7.1,8.6,86,604,0.1,0.2,0,0.2,,,,
1014,HIMACHAL PRADESH,6,18,6,9.7,7.5,8.4,90,303,0.1,0.1,0,0.4,23,79,130,280
1015,HIMACHAL PRADESH,5,17,8,9.8,7.5,8.6,78,299,0.1,0.1,0,0.3,31,94,170,430
1016,HIMACHAL PRADESH,9,27,5,8,7,8.7,206,300,0.2,0.7,0,0.9,12,17,33,130
1017,PUNJAB,16,20,7.8,9,7.4,8,208,260,,,0.2,1,17,35,40,100
1018,PUNJAB,17.2,18,7.5,8.6,7.5,8.5,230,272,0.6,0.6,0.7,1.2,230,300,400,430
1293,PUNJAB,17.4,25,6.4,7.8,7.3,8,275,495,1.6,2.5,1,2,140,930,430,1400
1814,PUNJAB,16,20,7.8,8.2,7.5,7.9,252,267,0.4,1.2,0.4,1.2,170,230,400,460
1019,PUNJAB,17.2,26,7.6,8.1,7.3,7.8,205,992,1.2,2.6,0.4,2,110,390,400,640
1380,PUNJAB,17,22,7.6,8.9,7.5,8.5,238,372,0.8,2.5,1.2,1.4,90,150,140,390
1690,PUNJAB,12,24,6,6.7,7.2,7.7,388,432,1.2,2.6,1,1.6,140,280,300,640
1020,PUNJAB,14,24,4,4.4,7,7.6,502,1096,13,24,1,4.3,35000,43000,50000,64000
1021,PUNJAB,15,26,5.5,8,7.2,7.7,351,714,4,10,0.6,2.6,280,14000,640,30000
1381,PUNJAB,12,21,2.1,4,7.1,7.8,398,810,4,10.2,3.8,4.6,3000,7500,6000,14000
1691,PUNJAB,16,25,7.7,8.4,7.3,8.4,260,275,1.2,2,0.4,1.2,110,210,280,390
1692,PUNJAB,16.2,26,7.5,8.4,7.2,8.2,182,281,1.2,2,0.4,1.2,150,230,390,460
1022,PUNJAB,13,22,4.8,5.8,7.4,7.8,296,398,2,2.9,3.1,3.5,400,700,750,1100
1088,HIMACHAL PRADESH,11.5,20,7.8,9.2,6.3,8.3,149,413,0.2,4,0.1,0.9,,,,
1089,HIMACHAL PRADESH,7.9,14.8,8.6,8.8,6.8,8.4,92,244,0.2,0.7,0.1,0.9,8,8,9,60
2614,HIMACHAL PRADESH,9.5,21,8.4,8.9,7.1,8.4,113,222,0.2,0.8,0.1,3.1,11,11,17,110
2615,HIMACHAL PRADESH,7.8,15,8.5,8.9,6.4,8.9,119,399,0.2,0.8,0.1,1.1,9,9,11,110
2613,HIMACHAL PRADESH,7.8,15,8.5,8.8,6.8,8.5,96,237,0.2,1.6,0,1.1,11,11,11,80
1097,PUNJAB,13,20,8.1,8.3,7.5,7.8,154,202,0.4,0.4,0.4,0.7,31,90,70,130
1290,HIMACHAL PRADESH,7,12,8.3,11.1,7.1,8.2,52,137,0.1,0.2,0,0.2,11,63,130,430
2605,HIMACHAL PRADESH,2,13,9.3,11.5,6.7,8.3,43,168,0.1,0.1,0,0.5,4,33,21,110
2606,HIMACHAL PRADESH,2,13.5,9.2,11.4,6.9,8.1,45,158,0.1,0.1,0,0.1,6,49,58,140
1090,HIMACHAL PRADESH,5,17,8.7,11,7,8.2,54,161,0.1,0.2,0,0.2,21,94,130,280
1551,HIMACHAL PRADESH,17,21,5,8.1,6.8,8.8,360,1261,0.8,18,0,0.3,4,12,17,170
1552,HIMACHAL PRADESH,18.5,23,4.5,8.2,7.1,8,380,1766,1.2,10,0,0.4,4,32,14,220
1868,HIMACHAL PRADESH,18,21,5.1,8.8,6.9,8.6,418,1571,1,12,0,0.5,6,24,24,350
1869,HIMACHAL PRADESH,10,29,5.2,7.8,6.8,8.8,395,691,0.4,6,0.2,1.2,21,26,26,170
2616,HIMACHAL PRADESH,7.7,13.8,8.5,10,7,8.6,149,268,0.2,1.6,0,1.3,9,9,17,80
2607,HIMACHAL PRADESH,10.4,29,6.2,11.3,7.5,8.6,184,437,0.1,0.3,0,0.4,49,540,240,2400
2608,HIMACHAL PRADESH,11,21,7.2,9.1,7.1,8.6,66,430,0.2,0.8,0.1,2.2,,,,
2609,HIMACHAL PRADESH,10,24,7.3,9.1,7,8.4,79,173,0.2,1.8,0.1,1.2,,,,
2610,HIMACHAL PRADESH,9,13,9.6,10,6.6,8.3,66,586,0.1,0.2,0,0.2,,,,
2612,HIMACHAL PRADESH,7,13,9.3,9.8,7.3,8.4,72,600,0.1,0.2,0,0.1,,,,
1307,JAMMU & KASHMIR,2,19.8,4,6.5,7,8.5,174,259,4.1,6,,,,,,
1306,JAMMU & KASHMIR,2,19,6.5,8.3,7.1,8.2,90,234,1,3,,,,,,
1304,JAMMU & KASHMIR,7.5,19,5.1,8.8,7.4,8.1,165,356,1.2,3,,,,,,
1410,JAMMU & KASHMIR,3.4,19.2,5.7,8.1,7.4,8.2,120,320,1,3,,,,,,
1411,JAMMU & KASHMIR,5,20,6.3,7.1,7.2,8.3,123,231,1,2.3,,,,,,
3272,JAMMU & KASHMIR,3,18,5.8,6.8,7.5,7.8,100,160,0.5,1.2,,,,,,
3273,JAMMU & KASHMIR,6,19.2,5.8,8.5,7.1,8.2,140,320,1,2.4,,,,,,
3276,JAMMU & KASHMIR,1,16.5,6,7.4,7,8.2,241,495,1,3.4,,,,,,
3277,JAMMU & KASHMIR,2,17,6,7.6,7.2,8.2,156,465,1.7,3,,,,,,
