STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,
1001,HIMACHAL PRADESH,3,13,8.7,11.5,7.5,8.1,61,119,BDL,BDL,BDL,0.66,11,58,32,280,2,2,
4444,HIMACHAL PRADESH,3,12,8,10.6,6.5,8.2,47,94,BDL,1,BDL,1.12,26,94,170,350,2,2,
4037,HIMACHAL PRADESH,3,13,8.5,11.4,6.5,8.2,59,845,BDL,1,BDL,0.84,2,58,12,240,2,2,
2601,HIMACHAL PRADESH,1,13,8.5,10.8,6.7,8,66,720,BDL,1,BDL,0.81,21,84,110,350,2,2,
2602,HIMACHAL PRADESH,4,18,8.5,10.6,7.2,8,57,920,BDL,1,BDL,0.7,23,120,140,430,2,2,
4445,HIMACHAL PRADESH,4,20,8.5,10.2,7.3,7.9,60,139,BDL,1,BDL,1.16,32,220,130,920,2,2,
1002,HIMACHAL PRADESH,4,18,8.5,10,7.4,7.9,65,156,BDL,1,BDL,0.94,17,150,150,540,2,2,
1003,HIMACHAL PRADESH,5,12,8.4,9.9,7.1,7.8,51,141,BDL,1,BDL,1.19,21,94,94,350,2,2,
1004,HIMACHAL PRADESH,17,23,7.6,10.5,7.1,8,62,153,BDL,1,BDL,0.81,22,49,94,220,2,2,
2603,HIMACHAL PRADESH,17,22,8.4,10.3,7.6,8,81,147,BDL,1,BDL,0.81,23,79,94,350,2,2,
1005,HIMACHAL PRADESH,14,24,8.1,9.7,7.4,8.5,84,205,BDL,1,BDL,0.51,23,79,110,350,2,2,
1550,HIMACHAL PRADESH,17,22,8.3,9.9,7.1,8.2,71,176,BDL,1,BDL,0.95,21,49,94,170,2,2,
