STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
1001,HIMACHAL PRADESH,1,13,8.2,9.9,7.6,8.3,46,104,0.1,0.6,0.176,1.32,17,94,34,350,32.237794,77.190564
1002,HIMACHAL PRADESH,1,16,8.2,9.6,7,8.5,54,119,0.1,0.4,0.342,0.98,23,140,170,540,31.963639,77.116392
1003,HIMACHAL PRADESH,2,15,0.9,9.8,7,8.4,42,118,0.1,1,0.283,0.92,23,79,130,280,31.740194,77.207533
1004,HIMACHAL PRADESH,7,18,0.3,10.5,7.4,8.2,57,119,0.1,0.9,0.396,3.2,33,170,79,920,31.669367,77.064236
1005,HIMACHAL PRADESH,5,26,8.9,12.1,7.4,8.5,64,189,0.1,0.3,0.372,2.45,21,63,70,280,31.422647,76.812947
1550,HIMACHAL PRADESH,7,20,7.5,10.8,7.5,8.5,76,157,0.1,0.9,0.667,3.7,27,79,110,280,31.705853,76.934903
1006,HIMACHAL PRADESH,8,21,6.9,11.7,7.5,8.7,99,204,0.2,1.4,0.676,3.02,79,2400,170,2400,31.712408,76.933089
2604,HIMACHAL PRADESH,9,22,6.7,8.3,7.5,8.8,81,472,0,1.4,0.68,1.02,�,�,�,�,31.880753,76.614514
1007,HIMACHAL PRADESH,10,21,6.5,8.1,6,9,100,429,0.3,1.2,0.69,3.6,�,�,�,�,31.83865,76.505144
1008,HIMACHAL PRADESH,14.5,21,5.5,9.8,7.4,8.8,99,419,0.3,6,0.63,5.6,�,�,�,�,31.878094,76.203311
1009,HIMACHAL PRADESH,14.5,24,4.5,9.5,7.5,8.9,164,278,0.2,1.4,0.4,0.96,�,�,�,�,31.935022,76.053444
1693,PUNJAB,10,29,7.2,8,7,7.3,29,210,0.3,0.4,1.4,1.5,11,120,28,500,31.989016,75.832499
1694,PUNJAB,10,29,7.3,7.8,7.4,7.7,29,273,0.3,1.4,2.6,3.2,110,140,350,500,32.111503,75.663325
1695,PUNJAB,10,29,6.8,7.5,7.1,7.4,29,258,0.4,0.7,2.8,3.46,130,180,430,700,32.093633,75.609725
1010,PUNJAB,9,29,7.2,10.5,7.2,8.1,57,255,0.1,0.9,3.2,3.52,33,170,79,920,32.097933,75.611474
1294,PUNJAB,10,29,7,7.5,7.4,7.5,255,270,1.2,1.8,3.2,3.29,180,700,430,1100,31.923867,75.541467
1011,PUNJAB,10,29,7.3,7.6,7.1,7.5,205,254,0.2,1,3.4,4.8,110,600,350,1100,31.51012,75.304936
1696,PUNJAB,10,29,7.2,7.8,7,7.4,212,258,0.6,0.9,3.2,3.3,180,700,460,1200,31.385361,75.176625
1012,PUNJAB,10,29,7.2,7.7,7.1,7.4,221,251,0.6,0.9,3.8,3.93,130,500,490,1100,31.374996,75.162691
1697,PUNJAB,10,32,7.2,7.8,7.2,7.5,210,264,0.4,1.2,3,3.01,100,140,300,500,31.508844,75.307539
2601,HIMACHAL PRADESH,1,13,8.1,9.9,7.5,8.5,63,95,0,0.8,0.128,1.2,17,94,63,350,32.263247,77.185664
2602,HIMACHAL PRADESH,2,15,8.1,9.7,7.1,8.3,53,111,0,0.4,0.202,1.45,31,94,94,280,31.958136,77.115783
2603,HIMACHAL PRADESH,8,21,7.2,11,7,8.5,75,132,0,0.7,0.327,1.2,34,280,140,1600,31.686472,77.045619
1867,HIMACHAL PRADESH,3,13,9,10.4,7.6,8.5,123,426,0.1,0.3,0.219,1.03,11,33,22,130,31.804453,78.643214
2611,HIMACHAL PRADESH,2.5,13,9.1,10.6,7.9,8.8,125,457,0.1,0.2,0.356,1.3,11,46,34,140,31.798494,78.639769
1389,HIMACHAL PRADESH,3.5,17,8.8,10.2,7.5,8.9,75,476,0.1,0.5,0.146,1.45,22,46,70,180,31.859386,77.165125
1086,HIMACHAL PRADESH,4,22,9.2,10.4,6.7,8.6,176,485,0.1,0.3,0.173,1.86,21,110,94,540,31.448039,77.628283
1087,HIMACHAL PRADESH,4.5,23,0.4,10.1,7.5,8.7,90,884,0.2,0.6,0.202,1.05,23,140,130,920,31.432236,77.622567
1013,HIMACHAL PRADESH,4.5,22,8.9,9.4,7.2,8.5,128,940,0.4,0.8,0.342,1.55,31,79,94,350,31.247458,77.088208
1014,HIMACHAL PRADESH,3,25,8.6,11.6,7.9,8.5,166,314,0.2,0.3,0.322,2.6,46,350,130,1600,31.421014,76.837836
1015,HIMACHAL PRADESH,4,20,8.6,11.7,7.7,8.7,146,268,0.1,0.3,0.338,3.2,43,280,130,1600,31.412833,76.874881
1016,HIMACHAL PRADESH,13,20,6.6,11.8,7.8,8.7,195,239,0.2,0.9,0.26,1.2,�,�,�,�,31.425772,76.421883
1017,PUNJAB,11,25,7,8.4,7.1,8.1,20,465,0.4,3,1,2.06,35,400,50,900,31.380831,76.367228
1293,PUNJAB,7,25,6,7,6.8,8,23,482,1.8,13,3,3,500,1700,1100,3000,30.984964,76.4672
1814,PUNJAB,13,25,6.8,8.4,7.4,7.7,23,342,0.8,2.6,1.1,2.96,50,210,110,500,31.182044,76.563547
1019,PUNJAB,5,24,6,7.4,6.9,7.8,22,310,1.2,2.8,2.6,3,40,1000,500,2500,31.379027,76.372115
