STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,Latitude,Longitude
1001,HIMACHAL PRADESH,2,13,8.7,11.2,7.3,8.4,90,179,0.1,0.2,0.2,0.31,12,33,120,240,-,-,32.237794,77.190564
4444,HIMACHAL PRADESH,8,14,8.5,10.8,7.3,8.1,62,92,0.1,0.8,0.2,0.2,31,94,280,540,-,-,32.235933,77.190982
4037,HIMACHAL PRADESH,2,13,8.9,10.9,7,8.3,68,135,0.1,1,0.1,0.1,20,32,120,280,-,-,32.254308,77.181865
2601,HIMACHAL PRADESH,3,14,8.2,11.1,6.9,8.2,78,218,0.1,0.6,0.1,0.4,25,170,280,920,-,-,32.263247,77.185664
2602,HIMACHAL PRADESH,5,15,7.6,11.5,7,8.6,63,149,0.1,0.4,0.1,0.2,25,70,220,540,-,-,31.958136,77.115783
4445,HIMACHAL PRADESH,9,13,7.8,11.1,7.5,8,73,122,0.3,1.4,0.2,0.4,40,94,350,540,-,-,31.956695,77.114211
1002,HIMACHAL PRADESH,6,13,7.8,11.3,7.4,8.4,66,341,0.2,0.8,0.03,0.36,39,110,220,920,-,-,31.963639,77.116392
1003,HIMACHAL PRADESH,6,15,8.7,11,7.3,8.1,50,141,0.1,0.4,0.1,0.13,26,94,150,430,-,-,31.740194,77.207533
1004,HIMACHAL PRADESH,10,19,8.6,11,7.5,8.4,62,136,0.1,0.4,0.1,0.1,13,40,170,280,-,-,31.669367,77.064236
2603,HIMACHAL PRADESH,9,24,7.2,11.3,7.2,8.1,74,149,0.1,0.4,0.1,0.2,22,110,240,350,-,-,31.686472,77.045619
1005,HIMACHAL PRADESH,14,24,7.9,9.9,7.8,8.6,83,241,0.1,0.4,0.1,0.14,26,49,130,350,-,-,31.422647,76.812947
1550,HIMACHAL PRADESH,7,22,7.1,10.2,7.7,8.4,73,159,0.1,0.2,0.1,0.2,17,27,120,280,-,-,31.705853,76.934903
1006,HIMACHAL PRADESH,8,24,8.1,11.2,7.6,8.5,75,251,0.2,0.6,0.02,0.92,31,350,340,1600,-,-,31.712408,76.933089
