STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
2354,CANAL,ANDHRA PRADESH,24,29,4.5,7.6,7.2,8.52,241,523,1,1.5,0.29,3.85,9,21,150,310
2355,CANAL,ANDHRA PRADESH,24,33,4.5,6.6,6.86,8.18,829,8431,1,1.5,2.11,12.3,9,39,1100,3600
3051,CANAL,ANDHRA PRADESH,22,30,4.2,5.8,7.11,8.4,587,1288,2.4,11,0.37,12.3,4,4,1100,1600
1479,CANAL,DELHI,,,9,9,7.2,7.6,200,302,BDL,2.7,2.42,2.42,2100,1300000,4900,2400000
2057,CANAL,DELHI,16.9,34.8,1,4.2,7.3,7.9,439,1492,4,33,0.04,0.11,120000,3500000,280000,160000000
2265,CANAL,GOA,26.5,30,6.5,8.9,5.62,7.44,50,1364,0,2.4,BDL,4.38,1400,24000,1700,35000
2266,CANAL,GOA,26,30,4.5,9.5,5.64,7.49,27,764,0.6,4.5,BDL,4.3,2300,4900,3300,11000
2268,CANAL,GOA,27,33,4.4,8.9,6.05,7.35,47,48360,0.5,4.1,0.01,1.88,200,3300,450,7000
2073,CANAL,GUJARAT,24,29,5.8,9.42,7.86,8.74,261,383,1.1,1.95,BDL,0.08,1.8,130,3.6,258
2074,CANAL,GUJARAT,29,33,5.1,6.84,7.99,9.4,291,1090,0.5,1.11,0.012,0.391,13,26,33,110
1109,CANAL,HARYANA,18,18,6.4,9.1,7.79,8.1,168,356,1.4,2.8,,,200,1300,2400,4000
1110,CANAL,HARYANA,,,,,7.75,7.85,165,246,2.2,2.8,,,,,,
1111,CANAL,HARYANA,,,6.48,7.4,7.4,8.12,201,302,2,2.6,,,400,500,1300,1700
1112,CANAL,HARYANA,,,6.48,7.5,7.5,8.13,201,2890,1.2,2.5,,,400,500,1400,1700
1113,CANAL,HARYANA,,,6.68,6.68,7.75,7.81,170,202,2.5,2.8,,,,,,
1114,CANAL,HARYANA,,,7.8,9.2,7.15,8.19,214,324,1.5,2.8,,,700,1700,2600,3300
1115,CANAL,HARYANA,,,6.45,7.4,7.4,8.12,202,303,2.2,2.8,,,500,700,1700,2200
1116,CANAL,HARYANA,18,18,6.8,8.7,7.02,8.1,186,311,1.1,4.25,,,400,900,2000,2600
1419,CANAL,HARYANA,31,40,1.6,2.4,7,7.4,13,1460,25,35,4,7.6,,,,
1886,CANAL,HARYANA,19,19,6.8,9.3,7.88,8.15,161,380,0.6,2.4,,,300,800,1100,1700
2056,CANAL,HARYANA,,,6.2,8.6,7.57,8.3,160,676,2.6,3.2,,,800,800,3200,3200
3461,CANAL,KERALA,27,31,2.9,8.5,6.2,7.5,780,56090,0.5,3.3,0.08,3.5,220,17000,540,22000
3467,CANAL,KERALA,26,32,1,4.5,6.2,7.3,163,24000,2,6.4,0.46,6.1,580,7900,2400,24000
3469,CANAL,KERALA,25,29,0.2,7,6.1,7.2,61,226,2,4.5,0.39,3.73,1700,24000,4100,58000
2836,CANAL,MANIPUR,18,30.4,1.82,8.1,6.3,7.6,115,408,0.6,7.6,25,40,,,50,185
2428,CANAL,ODISHA,24,28,6.6,8.8,7.3,8.1,174,199,0.7,1.6,0.039,0.508,790,35000,2400,35000
2429,CANAL,ODISHA,24,28,6.8,8,7,7.8,177,208,0.8,2.2,0.478,0.737,28000,160000,35000,160000
