STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,,
4349,MARINE,ANDHRA PRADESH,23,29,5,7.6,7,8.3,30900,51560,1.2,2.5,BDL,1.14,3,9,64,120,,
4352,MARINE,ANDHRA PRADESH,24,27,4.4,8.5,7.7,8.6,33100,52700,BDL,3.2,BDL,7.05,4,7,63,93,,
4357,BEACH,ANDHRA PRADESH,24,27,4.8,7.2,7.6,8.3,32400,57300,1.2,3,0.32,6.2,4,9,64,93,,
4361,BEACH,ANDHRA PRADESH,26,28,1.4,6.8,6.9,8.4,732,58700,1.2,6.5,BDL,2.66,3,11,64,150,,
4362,SEA,ANDHRA PRADESH,26,28,2,7.5,6.8,7.9,940,52420,1.4,4.8,0.7,4.66,4,15,64,240,,
4363,SEA,ANDHRA PRADESH,26,28,0.8,5.6,6.6,7.9,593,46800,1.6,6.4,0.97,6.24,4,15,75,210,,
4371,MARINE,ANDHRA PRADESH,22,28,5,8.2,7.3,8.2,4760,55700,1.1,2.8,0.34,1.18,4,7,64,93,,
4378,BEACH,ANDHRA PRADESH,25,27,3.9,5.2,7.2,8,16850,54590,2.2,2.8,0.56,1.24,3,3,64,150,,
4383,MARINE,ANDHRA PRADESH,21,26,3.8,4.9,7.4,7.8,21800,52830,2.2,2.8,0.63,1.2,3,3,64,150,,
4385,BEACH,ANDHRA PRADESH,25,31,3.2,4.8,7.4,8.3,32800,57490,2.2,2.8,0.45,1.24,3,3,75,240,,
4386,BEACH,ANDHRA PRADESH,22,31,3.6,5.1,7.4,8.2,33460,58140,2,2.8,0.53,1.28,3,3,64,240,,
4387,MARINE,ANDHRA PRADESH,21,25,3.8,5.1,7.3,8,20100,57690,2,2.8,0.59,1.2,3,3,64,210,,
2267,CREEK,GOA,26,32,4.5,8.2,6.8,8.5,190,65900,BDL,2.9,BDL,18.408,130,7000,220,9400,,
4013,BEACH,GOA,26,32,5.6,7.6,7.2,8,15190,62070,BDL,2.1,BDL,0.495,8,220,13,920,,
4014,BEACH,GOA,26,31,6,7.6,6.8,8,4323,64350,BDL,2,BDL,0.345,23,130,49,350,,
4015,BEACH,GOA,26,30,5.4,7.1,7.3,8,34870,63950,BDL,2.2,BDL,1.349,13,540,33,920,,
4016,BEACH,GOA,26,32,6.1,7.5,7.2,8,14840,64650,BDL,2.2,BDL,0.336,13,130,33,540,,
4017,BEACH,GOA,28,31,4.7,7.1,7.5,7.9,42200,65300,BDL,2.4,BDL,0.71,11,1300,17,2300,,
4018,BEACH,GOA,26,32,4.3,7,7.4,8,37530,63650,BDL,2.5,BDL,0.555,49,240,70,540,,
4019,BEACH,GOA,28,31,4.8,7.6,7,7.9,5490,62020,BDL,2.8,BDL,0.676,13,170,23,350,,
4020,BEACH,GOA,28,33,6.2,7.2,7,8.1,34350,64670,BDL,2.2,BDL,0.605,23,240,33,350,,
4021,BEACH,GOA,26,30,4.6,7.1,6.7,7.9,25590,63850,BDL,2.1,BDL,1.509,13,220,23,540,,
4022,BEACH,GOA,26,32,5,7.1,7.5,8,28350,64720,BDL,3.5,BDL,1.323,13,240,17,540,,
2080,CREEK,GUJARAT,26,30,0.8,7,7.2,14,1137,2798,BDL,2.2,BDL,0.7,6,350,2,1600,,
2081,CREEK,GUJARAT,28,32,BDL,5,7.3,8.2,940,2020,1.9,16,BDL,0.62,70,110,170,280,,
3196,CREEK,GUJARAT,29,33,BDL,6.2,7.3,8.2,806,3980,1.2,40,BDL,2.5,33,130,140,280,,
2439,CREEK,ODISHA,21,33,5.9,8.3,6.8,8.5,32970,48730,BDL,2.6,BDL,2.039,20,170,78,270,,
2440,CREEK,ODISHA,22,31,4.2,7.8,6.8,8.2,31550,66620,BDL,2.2,BDL,1.284,18,490,18,790,,
2441,CREEK,ODISHA,12,31,6.3,12.5,7.8,8.3,30250,59050,BDL,1.9,BDL,1.4,18,78,20,130,,
3961,CREEK,ODISHA,21,32,2.2,6.4,6.6,8.2,2156,12710,BDL,6.2,BDL,4.27,170,7900,220,24000,,
3052,DRAIN,ANDHRA PRADESH,25,27,4.8,5.8,1289,2100,6.8,7.7,3.4,12.8,2.5,10.5,3,3,1100,2400,,
