STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max
4349,MARINE,ANDHRA PRADESH,21,30,5.2,7.2,7.4,8.4,13800,57300,1.2,2.5,0.32,1.38,3,7,48,120,-,-
4352,MARINE,ANDHRA PRADESH,25,28,5.2,6.6,7.7,8.5,32200,56400,1.4,2.8,0.32,0.88,3,11,39,210,-,-
4357,BEACH,ANDHRA PRADESH,25,29,4.8,7,7.7,8.5,31700,55700,1.2,2.9,0.32,1.13,3,14,39,150,-,-
4361,BEACH,ANDHRA PRADESH,25,28,4.5,7.9,7.8,8.5,4800,51400,2.2,2.8,0.42,1.32,3,20,48,150,-,-
4362,SEA,ANDHRA PRADESH,25,27,5.3,8,7.4,8.4,861,50300,2.2,3.9,0.82,3.32,4,23,75,460,-,-
4363,SEA,ANDHRA PRADESH,24,26,5.7,7.5,7.1,8.2,481,47000,2.2,2.8,0.9,4.27,3,21,64,460,-,-
4371,MARINE,ANDHRA PRADESH,22,30,5.1,8,7.8,8.4,7300,51500,1.3,2,0.38,1.15,3,14,49,120,-,-
4378,BEACH,ANDHRA PRADESH,25,27,5.5,6.8,7.5,8,38200,58500,2.4,2.8,0.83,1.82,3,11,75,252,2,4
4383,MARINE,ANDHRA PRADESH,22,24,4.6,6.7,7.3,8,26000,56200,2.3,2.9,0.74,1.93,3,13,64,272,2,5
4385,BEACH,ANDHRA PRADESH,22,26,5.1,6.6,7.5,8.3,33120,57680,2.3,2.8,0.72,1.81,3,18,64,354,2,6
4386,BEACH,ANDHRA PRADESH,22,25,5.4,6.7,7.6,8.1,32900,56900,2.6,2.9,0.72,1.66,3,10,75,210,2,5
4387,MARINE,ANDHRA PRADESH,19,21,5.6,6.7,7.2,8,31200,52560,2.4,2.9,0.42,1.53,3,11,64,243,2,4
4013,BEACH,GOA,28,30,5.9,7.5,7.2,8.3,30500,55850,1,2.3,0.32,2.27,13,350,23,540,5,170
4014,BEACH,GOA,28,32,5.9,7.6,7.7,8.5,8856,53320,1,2,0.32,0.38,79,350,110,540,23,94
4015,BEACH,GOA,27,30,5.7,7.5,7.4,8.4,29950,53230,1,1.9,0.32,0.42,49,350,79,540,4,94
4016,BEACH,GOA,28,30,5.5,7.3,7.3,8.7,15820,56510,1,2.1,0.32,0.32,13,220,23,280,8,110
4017,BEACH,GOA,27,31,5.4,7.7,6.6,8.4,12100,55530,1,2,0.32,0.4,110,350,140,540,6,94
4018,BEACH,GOA,28,30,5.6,7.2,6.6,8.6,37980,54030,1.1,2,0.32,0.99,110,540,140,920,49,130
4019,BEACH,GOA,28,31,5.5,7.2,6.6,8.2,30130,54450,1,1.9,0.32,1.21,23,240,49,540,7,140
4020,BEACH,GOA,28,30,6,8,7.4,8.4,30630,54460,1,1.9,0.32,1.78,79,540,140,920,17,130
4021,BEACH,GOA,27,30,6.2,7.3,6.8,8.3,24300,52940,1,1.9,0.32,0.38,33,350,49,1110,5,94
4022,BEACH,GOA,28,30,6.3,8,7.1,8.7,43580,54730,1,2,0.32,1.68,49,240,79,350,2,110
5277,CREEK,GOA,28,30,2,14.9,5.9,7.7,144,10180,1,9.8,0.32,0.66,2300,4900,3300,7000,270,1100
5278,CREEK,GOA,27,30,1.9,7,5.1,6.8,242,2031,1,15,0.32,2.4,1700,2600,2200,4600,340,790
5279,CREEK,GOA,27,30,1.5,6,5.8,7.1,227,10850,1.4,28,0.32,1.66,1300,3400,2300,4900,230,1100
