STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Unnamed: 19,Latitude,Longitude
1109,W.YAM. CANAL WC-1(Y.NAGAR)100M D/S AFTER RECEIVING I.&SEW.EFFL HARYANA,CANAL,HARYANA,,,4.9,6.5,7.8,8.5,200.0,649.0,3.4,4.5,0.0,0.0,,,,,30.104731,77.257543
1110,"W.YAM. CANAL WC-2 (NEAR KARNA LAKE)G.T.ROAD KARNAL, HARYANA",CANAL,HARYANA,,,5.5,6.7,8.4,8.5,288.0,637.0,2.4,2.6,0.0,0.0,,,,,29.840997,77.09702
1111,"W.YAM. CANAL C-3 DELHI BRANCH AT R.D.245250, HARYANA",CANAL,HARYANA,,,6.5,7.3,8.3,8.9,170.0,256.0,2.1,2.2,0.0,0.0,,,,,29.041915,76.142314
1112,"W.YAM. CANAL C-4 BEFORE ENTER INTO DELHI BRANCH, R.D.282628 HARYANA",CANAL,HARYANA,,,6.5,7.3,6.2,8.9,170.0,258.0,1.7,1.8,0.0,0.0,,,,,28.805764,77.046769
1114,W.YAM. CANAL WC-6 SIRSA BRANCH AT RD.BRIDGE JI KAITHAL ROAD HARYANA,CANAL,HARYANA,,,6.3,6.3,8.8,8.8,235.0,235.0,2.2,2.2,0.0,0.0,,,,,29.340559,76.329749
1115,W.YAM. CANAL C-7 DELHI PARALLEL BRANCH AT KHUBRU FALL RD-145250,CANAL,HARYANA,,,6.3,7.2,7.7,8.9,180.0,260.0,2.4,2.4,0.0,0.0,,,,,29.173241,76.91024
1116,W.YAM. CANAL WC-4 DELHI PARALLEL BRANCH AT PANIPAT HARYANA,CANAL,HARYANA,,,6.2,7.0,8.0,8.6,220.0,365.0,2.2,2.3,0.0,0.0,,,,,29.358769,76.950469
1316,"BASSEIN CREEK AT BASSIN IN THANE DT., MAHARASHTRA",CREEK,MAHARASHTRA,20.0,32,3.0,5.9,7.2,8.3,15960.0,55210.0,7.0,14,0.9,5.8,79.0,550.0,240.0,920.0,19.229456,73.002085
1317,"THANE CREEK AT ELEPHANTA ISLA, MAHARASHTRA",CREEK,MAHARASHTRA,28.0,33,3.9,5.5,7.6,8.2,41620.0,55470.0,8.0,12,0.5,7.9,49.0,920.0,130.0,1600.0,18.967313,72.929655
1318,"MAHIM CREEK AT MAHIM BAY, MAHARASHTRA",CREEK,MAHARASHTRA,29.0,34,2.5,5.6,7.5,8.2,35430.0,52420.0,7.8,15,0.6,11.2,94.0,350.0,220.0,550.0,19.038979,72.827674
1377,"NAJAFGARH DRAIN AT WAZIRABAD BEFORE CONF. TO RIV.YAMUNA, DELHI",DRAIN,DELHI,,,,,7.1,7.8,,,31.0,60,0.0,0.0,,,,,28.709408,77.227814
1419,"GURGAON CANAL, GC-1, (NEAR BADARPUR BORDER)",CANAL,HARYANA,18.0,26,1.8,2.2,7.2,7.6,810.0,1710.0,2.5,32,0.0,1.8,,,,,28.506624,77.314305
1502,"CIVIL MILL DRAIN, DELHI",DRAIN,DELHI,,,,,7.1,8,,,38.0,140,0.0,0.0,,,,,28.639369,77.220517
1503,"POWER HOUSE DRAIN, DELHI",DRAIN,DELHI,,,,,6.8,7.8,,,80.0,149,0.0,0.0,,,,,28.730293,77.272327
1504,"SEN NURSING HOME DRAIN, DELHI",DRAIN, DELHI,,,,,7.0,7.5,,,79.0,220,0.0,0.0,,,,,28.620444,77.251472
1505,"BARAPULA DRAIN, DELHI",DRAIN,DELHI,,,,,7.0,7.6,,,42.0,120,0.0,0.0,,,,,28.584011,77.265425
1506,"SHAHDARA DRAIN, DELHI",DRAIN,DELHI,,,,,7.1,7.4,,,65.0,144,0.0,0.0,,,,,28.671042,77.269639
1729,"NEAR PRAGATI VIDYABHAWAN, AGARTALA, TRIPURA",CANAL,TRIPURA,28.0,29,0.5,1.0,8.2,8.9,372.0,385.0,30.2,33,7.5,7.5,650.0,680.0,740.0,860.0,23.844592,91.276394
1857,"MAHARANI BAGH DRAIN, DELHI",DRAIN,DELHI,,,,,7.2,7.6,889.0,889.0,34.0,169,0.0,0.0,,,,,28.571258,77.2667
