STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,Latitude,Longitude
4385,BEACH,ANDHRA PRADESH,22.0,25.0,5.9,6.6,7.2,8.2,39200.0,53600.0,2.4,2.9,0.3,1.1,3.0,14.0,28.0,150.0,2.0,3.0,15.419125,80.168512
4378,BEACH,ANDHRA PRADESH,25.0,27.0,5.8,6.6,7.3,7.9,39900.0,53300.0,2.4,2.8,0.7,1.3,3.0,14.0,23.0,150.0,2.0,3.0,16.242517,81.241292
5671,BEACH,ANDHRA PRADESH,18.0,23.0,5.7,6.4,7.6,8.1,46200.0,53200.0,2.6,2.8,0.9,1.3,4.0,11.0,23.0,93.0,2.0,2.0,,
5679,BEACH,ANDHRA PRADESH,22.0,25.0,5.8,6.6,7.3,8.1,41000.0,57200.0,2.2,2.9,0.9,1.2,7.0,14.0,39.0,93.0,2.0,2.0,,
5680,BEACH,ANDHRA PRADESH,25.0,28.0,5.2,7.8,7.4,8.0,22400.0,51400.0,1.1,2.6,0.5,1.2,3.0,9.0,43.0,120.0,,,,
4357,BEACH,ANDHRA PRADESH,25.0,33.0,5.4,6.4,6.6,8.2,40600.0,53000.0,1.4,2.8,0.3,0.7,3.0,7.0,64.0,120.0,,,17.782025,83.385284
5686,BEACH,ANDHRA PRADESH,22.0,26.0,6.0,6.6,7.3,7.9,47100.0,53500.0,2.4,2.8,0.9,1.3,4.0,14.0,28.0,93.0,2.0,2.0,,
4361,BEACH,ANDHRA PRADESH,25.0,27.0,6.0,7.3,7.2,7.9,34700.0,52000.0,2.2,2.8,0.5,1.6,3.0,14.0,28.0,150.0,,,17.076024,82.335507
4386,BEACH,ANDHRA PRADESH,23.0,26.0,6.1,6.8,7.2,8.1,40700.0,53700.0,2.4,2.9,0.9,1.4,3.0,14.0,39.0,150.0,2.0,3.0,15.780704,80.411638
5678,CREEK,ANDHRA PRADESH,24.0,31.0,1.0,5.8,6.2,7.4,17000.0,48800.0,1.8,5.6,0.5,3.7,3.0,21.0,43.0,1100.0,,,,
4349,MARINE,ANDHRA PRADESH,24.0,32.0,5.0,7.3,7.0,8.0,32800.0,53100.0,1.1,3.6,0.3,0.9,2.0,15.0,43.0,210.0,,,18.0783,83.664886
4352,MARINE,ANDHRA PRADESH,23.0,29.0,4.9,6.3,7.2,8.1,37500.0,52900.0,1.2,2.7,0.4,2.0,3.0,11.0,43.0,210.0,,,18.031067,83.602401
